cd_conta,conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
6.01,Caixa Líquido das Atividades Operacionais,-87475.000,-218139.000,-57654.000,-60513.000,-291634.000,-59457.000,-142679.000,164051.000,-43509.000,-62738.000,9963.000,-3931.000,-2594.000,20457.000,-30787.000,149076.000,-20051.000,98642.000,-6294.000,-35956.000,8074.000,11294.000,36957.000,6392.000,31009.000,30484.000,16514.000,8210.000,4177.000,16255.000,52823.000,-220858.000,6606.000,18042.000,17644.000,-86659.000,-16360.000,2303.000,-6665.000,6282.000,458.000,-3464.000,-12850.000,24955.000,136.000,-10981.000,-19692.000,-29253.000,-31502.000,-20261.000,-6871.000,-16098.000,2196.000,-1854.000,6458.000,-33470.000,4717.000,-6837.000,1481.000,22358.000,-2113.000,-6700.000
6.01.DA,Depreciação e Amortização,349.000,5811.000,2879.000,-6870.000,743.000,4096.000,2983.000,3224.000,2669.000,2217.000,5116.000,1996.000,2909.000,4855.000,6611.000,-6207.000,1449.000,1508.000,1509.000,1302.000,1011.000,2021.000,3047.000,-2016.000,998.000,995.000,994.000,985.000,974.000,1935.000,2895.000,-1949.000,948.000,1897.000,2832.000,-1910.000,928.000,935.000,634.000,635.000,608.000,707.000,720.000,729.000,247.000,500.000,739.000,-448.000,258.000,506.000,236.000,237.000,223.000,410.000,668.000,-567.000,115.000,216.000,316.000,-285.000,106.000,106.000
6.02,Caixa Líquido Atividades de Investimento,-93.000,-1331.000,-4180.000,-740.000,-3423.000,-3721.000,-3471.000,-241009.000,15274.000,35497.000,75417.000,3081.000,439.000,10204.000,63434.000,-45152.000,23884.000,27379.000,23874.000,52088.000,264.000,35943.000,35900.000,-36142.000,23.000,7738.000,3768.000,2406.000,0.000,2.000,1.000,11.000,0.000,-9.000,-19.000,544.000,-17.000,-52.000,-67.000,1201.000,236.000,-590.000,-226.000,-128.000,-62.000,-277.000,-287.000,835.000,-1372.000,-1144.000,-1777.000,-1388.000,-854.000,-1731.000,-2122.000,2944.000,861.000,5139.000,4147.000,-5748.000,203.000,100.000
6.03,Caixa Líquido Atividades de Financiamento,258059.000,183839.000,33446.000,61976.000,368959.000,133823.000,37137.000,-11611.000,-4763.000,23500.000,-31506.000,-67134.000,-38116.000,-52687.000,-86951.000,19412.000,-5411.000,-134148.000,-37771.000,-34041.000,-12580.000,-30452.000,-52728.000,-9782.000,-29401.000,-37089.000,-21183.000,-2136.000,-11230.000,-19942.000,-68362.000,229587.000,-8397.000,-24272.000,-23762.000,92547.000,14748.000,-2201.000,5209.000,-6730.000,0.000,9952.000,23076.000,-17887.000,148.000,50082.000,56946.000,-13121.000,12000.000,0.000,0.000,43920.000,182.000,-4758.000,-18282.000,26414.000,-11418.000,-2128.000,-6852.000,-180.000,-247.000,509.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,170491.000,-35631.000,-28388.000,723.000,73902.000,70645.000,-109013.000,-88569.000,-32998.000,-3741.000,53874.000,-67984.000,-40271.000,-22026.000,-54304.000,123336.000,-1578.000,-8127.000,-20191.000,-17909.000,-4242.000,16785.000,20129.000,-39532.000,1631.000,1133.000,-901.000,8480.000,-7053.000,-3685.000,-15538.000,8740.000,-1791.000,-6239.000,-6137.000,6432.000,-1629.000,50.000,-1523.000,753.000,694.000,5898.000,10000.000,6940.000,222.000,38824.000,36967.000,-41539.000,-20874.000,-21405.000,-8648.000,26434.000,1524.000,-8343.000,-13946.000,-4112.000,-5840.000,-3826.000,-1224.000,16430.000,-2157.000,-6091.000
