cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,160197.000,167491.000,202004.000,248624.000,181652.000,227733.000,176527.000,141507.000,190454.000,131420.000,15918.000,-3991.000,47117.000,65665.000,99402.000,306625.000,46149.000,55116.000,47892.000,9167.000,30147.000,25622.000,45741.000,10479.000,17075.000,23273.000,-54065.000,-4237.000,5310.000,-2872.000,142.000,3355.000,2308.000,9516.000,4680.000,68524.000,-3557.000,-55844.000,-48521.000,-37339.000,9638.000,10082.000,7650.000,16641.000,23870.000,18824.000,19023.000,6264.000,13655.000,26707.000,47048.000,34572.000,18363.000,11638.000,18369.000,21166.000,11247.000,64729.000,21964.000,14786.000,10230.000,9378.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-120229.000,-123774.000,-138957.000,-173172.000,-133452.000,-174179.000,-133699.000,-179441.000,-160890.000,-124843.000,-111032.000,-136932.000,-41859.000,-69814.000,-133464.000,-325674.000,-57838.000,-79638.000,-51302.000,-45407.000,-44926.000,-48794.000,-56478.000,-17783.000,-39604.000,-37986.000,27625.000,-8437.000,-8815.000,-3738.000,-2813.000,539.000,-5009.000,-9946.000,-5611.000,-96710.000,1784.000,40718.000,34933.000,32264.000,-9910.000,-18206.000,-9525.000,-20399.000,-17933.000,-12719.000,-16723.000,-8001.000,-10562.000,-21093.000,-29216.000,-22220.000,-16906.000,-11856.000,-11884.000,-11079.000,-8783.000,-43933.000,-15832.000,-10484.000,-8088.000,-6864.000
3.03,Resultado Bruto,39968.000,43717.000,63047.000,75452.000,48200.000,53554.000,42828.000,-37934.000,29564.000,6577.000,-95114.000,-140923.000,5258.000,-4149.000,-34062.000,-19049.000,-11689.000,-24522.000,-3410.000,-36240.000,-14779.000,-23172.000,-10737.000,-7304.000,-22529.000,-14713.000,-26440.000,-12674.000,-3505.000,-6610.000,-2671.000,3894.000,-2701.000,-430.000,-931.000,-28186.000,-1773.000,-15126.000,-13588.000,-5075.000,-272.000,-8124.000,-1875.000,-3758.000,5937.000,6105.000,2300.000,-1737.000,3093.000,5614.000,17832.000,12352.000,1457.000,-218.000,6485.000,10087.000,2464.000,20796.000,6132.000,4302.000,2142.000,2514.000
3.04,Despesas/Receitas Operacionais,-24508.000,-27546.000,-26575.000,-48467.000,-31500.000,-34455.000,-32664.000,-61613.000,-28704.000,-33215.000,-63206.000,-23236.000,-21594.000,-16853.000,-11606.000,-33732.000,-3307.000,-43861.000,-9317.000,-20344.000,-14733.000,-25346.000,-27403.000,-34316.000,-32317.000,-22336.000,-21876.000,-93810.000,-15729.000,-30290.000,-13265.000,-30345.000,-3879.000,-25645.000,1387.000,-25245.000,-523.000,-53582.000,-50667.000,-24287.000,-3147.000,-5874.000,-69464.000,-53687.000,48.000,-2886.000,-18184.000,-41545.000,-11842.000,-18271.000,-16722.000,-37640.000,-21092.000,-15747.000,-28787.000,-24012.000,-21301.000,-33442.000,-15563.000,-2630.000,-6906.000,-9573.000
3.04.02,Despesas Gerais e Administrativas,-15174.000,-14653.000,-16906.000,-26720.000,-16641.000,-14862.000,-17243.000,-20909.000,-20827.000,-22760.000,-22584.000,-11591.000,-14655.000,-13599.000,-9927.000,-11534.000,-9890.000,-9741.000,-8433.000,-10930.000,-8024.000,-9206.000,-7263.000,-7218.000,-5746.000,-6414.000,-5340.000,-5205.000,-6431.000,-6392.000,-5679.000,-12302.000,-4719.000,-5938.000,-6810.000,-7955.000,-5193.000,-8373.000,-5448.000,-5417.000,-5002.000,-5954.000,-7090.000,-11296.000,-7145.000,-9608.000,-20888.000,-10468.000,-12686.000,-6742.000,-10359.000,-11469.000,-9264.000,-10713.000,-9894.000,-9404.000,-7220.000,-6733.000,-7300.000,-6658.000,-5092.000,-4111.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,-3432.000,-947.000,0.000,-24926.000,0.000,0.000,-32633.000,2685.000,-7829.000,-490.000,-1155.000,-18034.000,6754.000,-33255.000,-2944.000,-5281.000,-5293.000,-17750.000,-18118.000,-21200.000,-21390.000,-17697.000,-15475.000,-87903.000,-8477.000,-1534.000,-6889.000,-17373.000,1536.000,-18408.000,8860.000,-25038.000,5287.000,-37805.000,-41295.000,-15399.000,4985.000,613.000,-61257.000,-41848.000,0.000,8455.000,0.000,-12183.000,0.000,-10470.000,0.000,-26114.000,0.000,-2035.000,0.000,-39855.000,0.000,-23437.000,-7115.000,-9763.000,-1334.000,-5209.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5273.000,949.000,3866.000,-588.000,1664.000,1481.000,6429.000,-50.000,1262.000,3798.000,202.000,-738.000,-3394.000,3162.000,171.000,-42.000,0.000,-21484.000,-9.000,-76.000,0.000,-398.000,63.000,8281.000,0.000,-6528.000,-138.000,-86.000,-18.000,-7.000,-695.000,-85.000,0.000,58.000,-453.000,-3754.000,157.000,578.000,-790.000,-14.000,0.000,-16.000,-59.000,-101.000,1195.000,-2344.000,-327.000,58.000,3.000,10.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,15460.000,16171.000,36472.000,26985.000,16700.000,19099.000,10164.000,-99547.000,860.000,-26638.000,-158320.000,-164159.000,-16336.000,-21002.000,-45668.000,-52781.000,-14996.000,-68383.000,-12727.000,-56584.000,-29512.000,-48518.000,-38140.000,-41620.000,-54846.000,-37049.000,-48316.000,-106484.000,-19234.000,-36900.000,-15936.000,-26451.000,-6580.000,-26075.000,456.000,-53431.000,-2296.000,-68708.000,-64255.000,-29362.000,-3419.000,-13998.000,-71339.000,-57445.000,5985.000,3219.000,-15884.000,-43282.000,-8749.000,-12657.000,1110.000,-25288.000,-19635.000,-15965.000,-22302.000,-13925.000,-18837.000,-12646.000,-9431.000,1672.000,-4764.000,-7059.000
3.06,Resultado Financeiro,-5168.000,3878.000,-257.000,1126.000,-1672.000,-3515.000,-15538.000,-15587.000,-14340.000,-12099.000,-24009.000,-29570.000,-16774.000,-25308.000,-27580.000,-67848.000,-19686.000,-34977.000,-14481.000,-8576.000,-13546.000,-18488.000,-18712.000,-50870.000,-34644.000,-36712.000,-35201.000,3626.000,-8756.000,-49106.000,-14245.000,1641.000,-14056.000,-1052.000,-72297.000,-17621.000,-12451.000,-10489.000,-15596.000,-17445.000,-6897.000,-12883.000,-9264.000,-6949.000,-5689.000,-649.000,-1806.000,56.000,665.000,5402.000,504.000,591.000,363.000,1027.000,-1286.000,-493.000,-209.000,-600.000,-648.000,-669.000,68.000,-440.000
3.06.01,Receitas Financeiras,7150.000,11672.000,15041.000,16835.000,16342.000,23768.000,22205.000,17003.000,12923.000,10847.000,17122.000,16402.000,8335.000,6434.000,10570.000,11629.000,9183.000,8517.000,10570.000,10526.000,4105.000,5926.000,7052.000,3925.000,6062.000,4355.000,1064.000,3001.000,3536.000,1483.000,9043.000,20104.000,4225.000,3000.000,6122.000,3313.000,521.000,1150.000,367.000,241.000,2099.000,-562.000,514.000,1556.000,1589.000,713.000,1175.000,1496.000,1305.000,6996.000,654.000,969.000,1144.000,1446.000,786.000,147.000,177.000,124.000,167.000,257.000,447.000,436.000
3.06.02,Despesas Financeiras,-12318.000,-7794.000,-15298.000,-15709.000,-18014.000,-27283.000,-37743.000,-32590.000,-27263.000,-22946.000,-41131.000,-45972.000,-25109.000,-31742.000,-38150.000,-79477.000,-28869.000,-43494.000,-25051.000,-19102.000,-17651.000,-24414.000,-25764.000,-54795.000,-40706.000,-41067.000,-36265.000,625.000,-12292.000,-50589.000,-23288.000,-18463.000,-18281.000,-4052.000,-78419.000,-20934.000,-12972.000,-11639.000,-15963.000,-17686.000,-8996.000,-12321.000,-9778.000,-8505.000,-7278.000,-1362.000,-2981.000,-1440.000,-640.000,-1594.000,-150.000,-378.000,-781.000,-419.000,-2072.000,-640.000,-386.000,-724.000,-815.000,-926.000,-379.000,-876.000
3.07,Resultado Antes dos Tributos sobre o Lucro,10292.000,20049.000,36215.000,28111.000,15028.000,15584.000,-5374.000,-115134.000,-13480.000,-38737.000,-182329.000,-193729.000,-33110.000,-46310.000,-73248.000,-120629.000,-34682.000,-103360.000,-27208.000,-65160.000,-43058.000,-67006.000,-56852.000,-92490.000,-89490.000,-73761.000,-83517.000,-102858.000,-27990.000,-86006.000,-30181.000,-24810.000,-20636.000,-27127.000,-71841.000,-71052.000,-14747.000,-79197.000,-79851.000,-46807.000,-10316.000,-26881.000,-80603.000,-64394.000,296.000,2570.000,0.000,-60916.000,-8084.000,-7255.000,1614.000,-24697.000,-19272.000,-14938.000,-23588.000,-14418.000,-19046.000,-13246.000,-10079.000,1003.000,-4696.000,-7499.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-5801.000,-5673.000,-7541.000,-8279.000,-6803.000,-5281.000,-7325.000,-5623.000,-8350.000,-4148.000,-3328.000,-1717.000,-6310.000,-487.000,339.000,-1670.000,-738.000,-1869.000,-1544.000,737.000,-713.000,-644.000,-1253.000,428.000,-383.000,-413.000,1958.000,-133.000,-488.000,262.000,48499.000,1500.000,1449.000,-265.000,-206.000,-8855.000,-76.000,0.000,8.000,336.000,-408.000,188.000,941.000,229.000,-83.000,-167.000,-64.000,438.000,-191.000,25792.000,-214.000,511.000,-127.000,-89.000,-33.000,-284.000,-69.000,-1120.000,-447.000,2550.000,-278.000,-285.000
3.09,Resultado Líquido das Operações Continuadas,4491.000,14376.000,28674.000,19832.000,8225.000,10303.000,-12699.000,-120757.000,-21830.000,-42885.000,-185657.000,-195446.000,-39420.000,-46797.000,-72909.000,-122299.000,-35420.000,-105229.000,-28752.000,-64423.000,-43771.000,-67650.000,-58105.000,-92062.000,-89873.000,-74174.000,-81559.000,-102991.000,-28478.000,-85744.000,18318.000,-23310.000,-19187.000,-27392.000,-72047.000,-79907.000,-14823.000,-79197.000,-79843.000,-46471.000,-10724.000,-26693.000,-79662.000,-64165.000,213.000,2403.000,-17754.000,-42788.000,-8275.000,18537.000,1400.000,-24186.000,-19399.000,-15027.000,-23621.000,-14702.000,-19115.000,-14366.000,-10526.000,3553.000,-4974.000,-7784.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-17578.000,0.000,0.000,0.000,28.000,0.000,0.000,0.000,472.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,4491.000,14376.000,28674.000,19832.000,8225.000,10303.000,-12699.000,-120757.000,-21830.000,-42885.000,-185657.000,-213024.000,-39420.000,-46797.000,-72909.000,-122271.000,-35420.000,-105229.000,-28752.000,-63951.000,-43771.000,-67650.000,-58105.000,-92062.000,-89873.000,-74174.000,-81559.000,-102991.000,-28478.000,-85744.000,18318.000,-23310.000,-19187.000,-27392.000,-72047.000,-79907.000,-14823.000,-79197.000,-79843.000,-46471.000,-10724.000,-26693.000,-79662.000,-64165.000,213.000,2403.000,-17754.000,-42788.000,-8275.000,18537.000,1400.000,-24186.000,-19399.000,-15027.000,-23621.000,-14702.000,-19115.000,-14366.000,-10526.000,3553.000,-4974.000,-7784.000
3.11.01,Atribuído a Sócios da Empresa Controladora,4491.000,14376.000,28674.000,19832.000,8225.000,10303.000,-12699.000,-120757.000,-21830.000,-42885.000,-185657.000,-213024.000,-40114.000,-47450.000,-72802.000,-121059.000,-35142.000,-105499.000,-28609.000,-64574.000,-43785.000,-67730.000,-57818.000,-91520.000,-89601.000,-74038.000,-81306.000,-102225.000,-28447.000,-85629.000,17821.000,-24377.000,-18658.000,-27444.000,-71992.000,-79122.000,-14796.000,-79080.000,-80017.000,-46619.000,-10317.000,-26951.000,-79629.000,-63884.000,113.000,2506.000,-18049.000,-42101.000,-8446.000,17939.000,1249.000,-24077.000,-19621.000,-14858.000,-23551.000,-14694.000,-19144.000,-14371.000,-10481.000,-358.000,-4936.000,-7285.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,694.000,653.000,-107.000,-1212.000,-278.000,270.000,-143.000,623.000,14.000,80.000,-287.000,-542.000,-272.000,-136.000,-253.000,-766.000,-31.000,-115.000,497.000,1067.000,-529.000,52.000,-55.000,-785.000,-27.000,-117.000,174.000,148.000,-407.000,258.000,-33.000,-281.000,100.000,-103.000,295.000,-687.000,170.000,598.000,151.000,-108.000,222.000,-169.000,-70.000,-8.000,29.000,5.000,-45.000,1133.000,-38.000,-499.000
3.99,Lucro por Ação (Reais/Ação),0.018,0.053,0.101,0.071,0.029,0.036,0.045,-0.512,-0.065,0.150,-0.651,-1.058,-0.120,-0.138,0.218,-0.800,-0.105,-0.313,-0.085,-0.193,-0.131,-19.814,-17.019,-0.643,-0.263,-21.725,-23.888,-98.722,-6.618,-25.114,5.365,-21.444,-4.338,-0.591,-1.556,3.361,-0.030,-1.311,-3.780,-0.990,-0.220,-0.251,-0.748,-2.470,0.001,0.017,-0.124,-0.481,0.059,0.126,0.006,-0.273,-0.087,-0.647,-1.003,-1.387,-0.713,-0.530,-0.383,0.154,-0.129,-0.190
