cd_conta,conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,96515.0,100648.0,114159.0,108922.0,102871.0,124634.0,130240.0,125660.0,131989.0,127204.0,134963.0,138880.0,138733.0,135515.0,167262.0,176650.0,179043.0,202712.0,215248.0,221901.0,225961.0,225500.0,255965.0,248087.0,239799.0,269409.0,284913.0,298099.0,282425.0,260712.0,283981.0
1.01,Ativo Circulante,54400.0,58173.0,71083.0,65046.0,57695.0,79647.0,83868.0,80420.0,84121.0,82087.0,89158.0,92650.0,93387.0,91100.0,111479.0,112770.0,116085.0,138972.0,152931.0,157958.0,157285.0,156382.0,187111.0,179126.0,171649.0,200422.0,216369.0,229600.0,213358.0,189443.0,209979.0
1.01.01,Caixa e Equivalentes de Caixa,9933.0,11855.0,15650.0,7386.0,4275.0,1648.0,805.0,13104.0,21753.0,33474.0,38321.0,32665.0,27050.0,21036.0,34527.0,21358.0,18200.0,28566.0,30198.0,34676.0,33694.0,28082.0,47455.0,33859.0,36240.0,55017.0,48243.0,64007.0,59229.0,34625.0,30692.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,21272.0,15786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3327.0,3358.0,3366.0,3080.0,2794.0,2384.0,2198.0,2550.0,2485.0,2396.0,2258.0,2058.0,1771.0,1444.0,1093.0,665.0
1.01.03,Contas a Receber,22233.0,22291.0,27232.0,28785.0,25435.0,28022.0,33264.0,35091.0,22348.0,16248.0,20642.0,24558.0,23718.0,25459.0,26608.0,34158.0,29856.0,36089.0,49244.0,45344.0,41311.0,38777.0,51165.0,67878.0,54165.0,58647.0,65404.0,63441.0,42171.0,42834.0,54494.0
1.01.04,Estoques,18765.0,20609.0,24186.0,25048.0,24185.0,25269.0,29504.0,28540.0,34460.0,29040.0,26291.0,28115.0,35248.0,37580.0,44484.0,47777.0,56696.0,61941.0,61175.0,63268.0,67734.0,74806.0,76405.0,67792.0,71537.0,79467.0,88757.0,93386.0,105577.0,105121.0,117449.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,797.0,873.0,1005.0,1021.0,774.0,767.0,1181.0,1234.0,1891.0,724.0,985.0,1586.0,2564.0,3132.0,3614.0,3723.0,6125.0,7439.0,6935.0,7498.0,8976.0,8779.0,6722.0,4059.0,3821.0,2654.0,8013.0,4530.0,1941.0,2470.0,3587.0
1.01.07,Despesas Antecipadas,365.0,610.0,751.0,830.0,790.0,647.0,566.0,446.0,502.0,831.0,590.0,518.0,487.0,563.0,703.0,781.0,521.0,585.0,619.0,2763.0,2469.0,1947.0,1874.0,1825.0,1956.0,1535.0,2553.0,1418.0,2437.0,1699.0,1377.0
1.01.08,Outros Ativos Circulantes,2307.0,1935.0,2259.0,1976.0,2236.0,2022.0,2762.0,2005.0,3167.0,1770.0,2329.0,5208.0,4320.0,3330.0,1543.0,1646.0,1329.0,986.0,1680.0,1615.0,717.0,1793.0,940.0,1228.0,1534.0,844.0,1341.0,1047.0,559.0,1601.0,1715.0
1.02,Ativo Não Circulante,42115.0,42475.0,43076.0,43876.0,45176.0,44987.0,46372.0,45240.0,47868.0,45117.0,45805.0,46230.0,45346.0,44415.0,55783.0,63880.0,62958.0,63740.0,62317.0,63943.0,68676.0,69118.0,68854.0,68961.0,68150.0,68987.0,68544.0,68499.0,69067.0,71269.0,74002.0
1.02.01,Ativo Realizável a Longo Prazo,2598.0,2643.0,2502.0,3020.0,4231.0,3805.0,3527.0,138.0,2213.0,435.0,2780.0,3083.0,3327.0,2988.0,14659.0,22271.0,20913.0,20634.0,20016.0,20266.0,19928.0,19516.0,19930.0,20647.0,19386.0,20319.0,14478.0,13968.0,14532.0,15806.0,15907.0
1.02.02,Investimentos,350.0,375.0,511.0,415.0,484.0,587.0,789.0,768.0,746.0,704.0,865.0,1094.0,1137.0,1280.0,1475.0,1716.0,1927.0,1960.0,2280.0,2499.0,2685.0,3208.0,3105.0,3379.0,3480.0,2632.0,2946.0,2979.0,3005.0,2850.0,3121.0
1.02.03,Imobilizado,29703.0,29483.0,29011.0,28551.0,28115.0,27616.0,28502.0,28204.0,28273.0,27523.0,26186.0,26560.0,25869.0,24850.0,24768.0,25442.0,26108.0,27742.0,27014.0,28637.0,33901.0,34527.0,34121.0,33405.0,33874.0,34743.0,39901.0,40419.0,40493.0,41651.0,44087.0
1.02.04,Intangível,9464.0,9974.0,11052.0,11890.0,12346.0,12979.0,13554.0,16130.0,16636.0,16455.0,15974.0,15493.0,15013.0,15297.0,14881.0,14451.0,14010.0,13404.0,13007.0,12541.0,12162.0,11867.0,11698.0,11530.0,11410.0,11293.0,11219.0,11133.0,11037.0,10962.0,10887.0
