codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,528811.97,3507960.59,1703681.74,104628.03,39299.84,94586.04,53820.79
P_L,P/L,Valuation,x,-8.2322,-42.6489,-17.8968,-1.7293,-2.3837,-33.5055,-19.0651
P_VPA,P/VPA,Valuation,x,-1.4381,-45.1028,-10.0553,-0.455,-0.1595,-0.3802,-0.2164
EV_EBITDA,EV/EBITDA,Valuation,x,-199.2391,-56.1312,-19.6486,-3.7601,3.673,2.351,1.7755
EV_EBIT,EV/EBIT,Valuation,x,-33.1662,-44.2698,-15.3047,-1.8869,-11.361,7.1749,5.4186
EV_RECEITA,EV/Receita,Valuation,x,4.9251,26.2974,11.5314,0.796,0.5196,0.8815,0.6657
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,17.4692,36.9263,77.0161,30.2996,6.9221,1.1414,1.1414
ROA,ROA,Rentabilidade,%,-32.1561,-27.1293,-23.7776,-17.8892,-6.9144,-1.29,-1.29
ROIC,ROIC,Rentabilidade,%,3.11,14.31,25.7199,17.2197,2.2602,-8.6642,-8.6642
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-2.4719,-46.8499,-58.6884,-21.1689,14.1466,37.4923,37.4923
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,-57.868,-66.6073,-68.431,-43.6338,-10.7047,-1.4942,-1.4942
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-6.5233,4.5035,1.2191,-0.1956,1.8692,1.0157,1.0157
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0487,3.3499,0.5875,-0.025,-0.1653,-0.2892,-0.2892
ICJ,ICJ,Endividamento,x,-0.3317,-2.8858,-3.8664,-1.7401,-0.2933,0.8507,0.8507
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,39.6109,60.4709,57.1891,80.3666,64.6992,19.4398,19.4398
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.4293,1.0224,0.6931,0.4162,0.2399,0.3522,0.3522
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4293,1.0224,0.6931,0.4162,0.2399,0.3522,0.3522
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.2569,0.7072,0.4596,0.3065,0.1872,0.2584,0.2584
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5557,0.3037,0.353,0.4912,0.7916,0.844,0.844
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-919.9771,-1181.4255,-1095.1691,-706.3787,-395.7099,-420.4434,-420.4434
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-226.2824,-215.6922,-183.2501,-152.6356,-130.2982,-103.6728,-103.6728
