cd_conta,conta,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,199766.000,184130.000,402446.000,401944.000,406605.000,365773.000,348665.000,421808.000,394106.000,359388.000,317522.000,299375.000,282312.000,242554.000,216612.000,213812.000,194574.000,188488.000,222039.000,223847.000
1.01,Ativo Circulante,144388.000,129250.000,346919.000,341966.000,341077.000,298857.000,279051.000,279257.000,251428.000,201544.000,157545.000,145603.000,140802.000,97139.000,78588.000,83413.000,68446.000,66164.000,106592.000,95575.000
1.01.01,Caixa e Equivalentes de Caixa,109782.000,92834.000,309847.000,298213.000,265898.000,239831.000,217895.000,199554.000,166547.000,122896.000,83142.000,71215.000,50877.000,24417.000,9266.000,11905.000,6418.000,3106.000,10223.000,19597.000
1.01.02,Aplicações Financeiras,0.000,0.000,3037.000,7058.000,28205.000,15008.000,18401.000,32551.000,35955.000,34358.000,26593.000,32986.000,44587.000,35953.000,29763.000,31344.000,22318.000,22067.000,40885.000,22714.000
1.01.03,Contas a Receber,24880.000,23461.000,26623.000,27795.000,34475.000,35264.000,30941.000,31961.000,35018.000,30666.000,33002.000,29860.000,33166.000,24157.000,26232.000,21288.000,26714.000,27241.000,37276.000,41145.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,6335.000,6798.000,6321.000,6816.000,9397.000,4836.000,7799.000,10976.000,8725.000,8714.000,11407.000,8458.000,7817.000,8455.000,9427.000,11403.000,7353.000,9798.000,14809.000,9065.000
1.01.07,Despesas Antecipadas,1995.000,4504.000,0.000,395.000,2157.000,3045.000,2195.000,1426.000,841.000,926.000,570.000,601.000,1449.000,1540.000,1115.000,2430.000,1253.000,2210.000,1867.000,1599.000
1.01.08,Outros Ativos Circulantes,1396.000,1653.000,1091.000,1689.000,945.000,873.000,1820.000,2789.000,4342.000,3984.000,2831.000,2483.000,2906.000,2617.000,2785.000,5043.000,4390.000,1742.000,1532.000,1455.000
1.02,Ativo Não Circulante,55378.000,54880.000,55527.000,59978.000,65528.000,66916.000,69614.000,142551.000,142678.000,157844.000,159977.000,153772.000,141510.000,145415.000,138024.000,130399.000,126128.000,122324.000,115447.000,128272.000
1.02.01,Ativo Realizável a Longo Prazo,1417.000,1423.000,1434.000,1452.000,1461.000,1475.000,1540.000,4856.000,7575.000,24363.000,28670.000,25377.000,16221.000,24014.000,18594.000,15964.000,14113.000,14795.000,12153.000,26552.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,925.000,877.000,976.000,1715.000,2679.000,2580.000,2438.000,2449.000,2286.000,2115.000,1964.000,1795.000,1641.000,1443.000,3337.000,2383.000,2135.000,1870.000,1773.000,4114.000
1.02.04,Intangível,53036.000,52580.000,53117.000,56811.000,61388.000,62861.000,65636.000,135246.000,132817.000,131366.000,129343.000,126600.000,123648.000,119958.000,116093.000,112052.000,109880.000,105659.000,101521.000,97606.000
