cd_conta,conta,2018T2,2018T3,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,3782.0,1758.0,-8685.0,-2634.0,46359.0,-47884.0,6964.0,7865.0,27309.0,14467.0,16892.0,-2085.0,2635.0,26217.0,25626.0,6387.0,19953.0,27633.0,17005.0,19923.0,3959.0,13089.0,6848.0,30086.0,19419.0,21809.0,14295.0,49117.0,55491.0
6.01.DA,Depreciação e Amortização,4349.0,6970.0,2334.0,2383.0,2930.0,2524.0,2621.0,2654.0,2680.0,2811.0,1299.0,4677.0,2989.0,3976.0,3557.0,4173.0,4788.0,4709.0,4938.0,5159.0,5313.0,5455.0,5731.0,6536.0,5810.0,5920.0,5867.0,11801.0,17762.0
6.02,Caixa Líquido Atividades de Investimento,-10421.0,-16067.0,15714.0,10809.0,-48669.0,44013.0,-1475.0,-2744.0,-14124.0,-15444.0,-6340.0,-9557.0,-8417.0,-33760.0,-27273.0,-9787.0,-12011.0,-21173.0,-7943.0,-15116.0,-3865.0,-5484.0,-4187.0,-10210.0,-8357.0,-14283.0,-8965.0,-24595.0,-35167.0
6.03,Caixa Líquido Atividades de Financiamento,9908.0,14213.0,-3782.0,-9098.0,6976.0,-63.0,31509.0,-12666.0,-6573.0,-18510.0,2373.0,-11988.0,18867.0,6296.0,-13923.0,2739.0,-6268.0,-1988.0,-13746.0,-4932.0,-1937.0,1335.0,-5226.0,-19339.0,-8977.0,-9578.0,-8119.0,-25984.0,-12411.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,Aumento (Redução) de Caixa e Equivalentes,3269.0,-96.0,3247.0,-923.0,4666.0,-3934.0,36998.0,-7545.0,6612.0,-19487.0,12925.0,-23630.0,13085.0,-1247.0,-15570.0,-661.0,1674.0,4472.0,-4684.0,-125.0,-1843.0,8940.0,-2565.0,537.0,2085.0,-2052.0,-2789.0,-1462.0,7913.0
