codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,7.9409,4.8843,3.3266,2.4079,2.0043,2.0893,1.2596,1.4606
P_VPA,P/VPA,Valuation,x,0.0959,0.1634,0.1334,0.1279,0.0823,0.0806,0.0935,0.0744,0.0862
EV_EBITDA,EV/EBITDA,Valuation,x,,2.828,2.1799,2.2663,1.7328,1.7369,1.0847,0.8851,0.9195
EV_EBIT,EV/EBIT,Valuation,x,,3.8904,2.9129,2.9255,2.2423,2.3955,1.3422,1.3326,1.3843
EV_RECEITA,EV/Receita,Valuation,x,,0.352,0.3704,0.3367,0.2669,0.266,0.2404,0.1882,0.1955
DY,Dividend Yield,Valuation,%,169.5929,2.253,3.1635,5.4789,30.4778,8.2577,7.895,10.2173,8.8111
PAYOUT,Payout,Valuation,%,,3.5557,3.0708,3.6223,14.5853,3.2892,3.2782,2.6056,2.6056
ROE,ROE,Rentabilidade,%,,12.8976,14.5731,19.5569,18.3722,21.5029,24.683,32.6859,32.6859
ROA,ROA,Rentabilidade,%,,5.0309,6.4253,7.9911,7.3665,9.1855,11.2834,16.6592,16.6592
ROIC,ROIC,Rentabilidade,%,,7.3987,8.3718,9.9925,11.7617,10.2084,16.5278,12.3005,12.3005
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,12.4484,16.992,14.8581,15.4045,15.3163,22.1669,21.2583,21.2583
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,5.6321,10.0258,9.3941,7.5186,9.9526,11.7931,17.9426,17.9426
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,2.114,1.6071,1.8483,1.4992,1.4781,0.8638,0.6699,0.6699
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.7569,0.4837,0.3744,0.5655,0.5284,0.4605,0.3655,0.2315,0.2315
ICJ,ICJ,Endividamento,x,,2.135,2.0136,4.6909,2.5923,2.5012,4.0801,3.9855,3.9855
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,74.812,69.1653,53.7347,50.8963,57.9322,55.4007,69.2671,67.4956,67.4956
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.0594,1.0879,1.2081,1.1865,0.9926,1.1039,1.1551,1.3098,1.3098
LIQ_SECA,Liquidez Seca,Liquidez,x,0.642,0.8024,0.9279,0.8325,0.604,0.6951,0.7129,0.8328,0.8328
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6765,0.8476,0.9022,0.7922,0.7078,0.7782,0.9012,1.0395,1.0395
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.812,0.6034,0.7863,0.9594,0.8836,0.9119,0.9171,0.9171
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,123.0294,149.0365,128.3271,98.3771,125.2566,139.8125,108.2325,108.2325
PME,PME,Eficiência,dias,,51.9632,73.1214,75.9107,66.9257,77.5466,92.5591,72.9248,72.9248
NCG_RECEITA,NCG/Receita,Eficiência,%,,20.7648,21.4254,19.3778,11.9076,15.3494,18.903,18.5781,18.5781
