cd_conta,conta,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,284943.0,301426.0,347111.0,345189.0,345060.0,370647.0,368478.0,413673.0,409446.0,441746.0,417226.0,447980.0,437279.0,481008.0,491614.0,499589.0,527063.0,523098.0,512986.0,519532.0,526986.0,548977.0,560724.0,571079.0,593500.0,616155.0,618724.0,644494.0,630349.0,631615.0
2.01,Passivo Circulante,113097.0,125309.0,116237.0,103236.0,104021.0,111030.0,118558.0,180859.0,176968.0,170568.0,136337.0,165362.0,158303.0,181445.0,175064.0,183706.0,206331.0,212999.0,182045.0,195193.0,188446.0,195132.0,199060.0,207345.0,231623.0,235022.0,230771.0,216695.0,213881.0,189511.0
2.01.01,Obrigações Sociais e Trabalhistas,13189.0,13982.0,12546.0,13156.0,15235.0,19396.0,16806.0,18313.0,24110.0,21467.0,16824.0,18883.0,25825.0,29448.0,26661.0,25515.0,36152.0,35315.0,25983.0,25006.0,32478.0,36272.0,32296.0,29943.0,39925.0,41976.0,34620.0,33543.0,43605.0,42423.0
2.01.02,Fornecedores,18198.0,21715.0,15412.0,15420.0,14335.0,15783.0,12310.0,15432.0,14719.0,14472.0,13743.0,23518.0,23352.0,27786.0,33051.0,42642.0,39484.0,39103.0,30001.0,31724.0,32594.0,38414.0,26564.0,26069.0,29678.0,31648.0,30578.0,31135.0,31192.0,30980.0
2.01.03,Obrigações Fiscais,5700.0,7208.0,9528.0,8164.0,9454.0,6338.0,6192.0,27599.0,27525.0,33832.0,28216.0,28956.0,30584.0,30623.0,29600.0,30102.0,33129.0,31828.0,36424.0,36147.0,35423.0,37019.0,39075.0,36596.0,38406.0,43640.0,41976.0,41056.0,42114.0,8408.0
2.01.04,Empréstimos e Financiamentos,50684.0,58304.0,55954.0,51193.0,47421.0,51363.0,60622.0,93474.0,87253.0,73249.0,50156.0,51147.0,45003.0,64806.0,66236.0,53065.0,68035.0,83791.0,73976.0,66629.0,51781.0,56011.0,70555.0,74954.0,78331.0,76200.0,83773.0,73149.0,66522.0,69727.0
2.01.05,Outras Obrigações,24143.0,20726.0,22797.0,15303.0,17576.0,18150.0,22628.0,26041.0,23361.0,27548.0,27398.0,42858.0,33539.0,28782.0,19516.0,32382.0,29531.0,22962.0,15661.0,35687.0,36170.0,27416.0,30570.0,39783.0,45283.0,41558.0,39824.0,37812.0,30448.0,37973.0
2.01.06,Provisões,1183.0,3374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,76866.0,77591.0,76250.0,81579.0,80161.0,94092.0,87142.0,65231.0,63763.0,91678.0,97249.0,102351.0,93265.0,105057.0,128833.0,126997.0,122953.0,105414.0,115854.0,111832.0,116680.0,122574.0,118088.0,111687.0,102274.0,101541.0,92364.0,90747.0,83963.0,85739.0
