Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4,2026T1
ON,109460862,780863314,780863314,780863314,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629
PN,20744105,150588206,150588206,150588206,0,0,0,0,0,0,0,0,0,0,0
TOTAL,130204967,931451520,931451520,931451520,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629,67691629
