cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,145754.0,171947.0,192469.0,199957.0,147580.0,197212.0,189900.0,176852.0,200371.0,185501.0,162376.0,146257.0,200108.0,215869.0,325647.0,270270.0,234293.0,261976.0,311971.0,376873.0,349819.0,295514.0,432339.0,417922.0,380681.0,436003.0,524354.0,870121.0,906014.0,1390717.0,1591875.0,1093003.0,1374868.0,1197765.0,1271491.0,1197208.0,1307153.0,1358914.0,1908251.0,2409188.0,1919466.0,2405643.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-164293.0,-185589.0,-219692.0,-264861.0,-267168.0,-250397.0,-207356.0,-175738.0,-188901.0,-187327.0,-193892.0,-149230.0,-210803.0,-167450.0,-266982.0,-301256.0,-218930.0,-223368.0,-346692.0,-358206.0,-352118.0,-333709.0,-440168.0,-479977.0,-325985.0,-417672.0,-510186.0,-1018695.0,-954212.0,-1444194.0,-1907125.0,-1307777.0,-1402001.0,-1329628.0,-1547090.0,-1526266.0,-1348791.0,-1530227.0,-2153603.0,-2719492.0,-2236102.0,-2780098.0
3.03,Resultado Bruto,-18539.0,-13642.0,-27223.0,-64904.0,-119588.0,-53185.0,-17456.0,1114.0,11470.0,-1826.0,-31516.0,-2973.0,-10695.0,48419.0,58665.0,-30986.0,15363.0,38608.0,-34721.0,18667.0,-2299.0,-38195.0,-7829.0,-62055.0,54696.0,18331.0,14168.0,-148574.0,-48198.0,-53477.0,-315250.0,-214774.0,-27133.0,-131863.0,-275599.0,-329058.0,-41638.0,-171313.0,-245352.0,-310304.0,-316636.0,-374455.0
3.04,Despesas/Receitas Operacionais,-24434.0,-33402.0,-48589.0,-65780.0,-15984.0,-47482.0,-139291.0,-190820.0,-56588.0,-75483.0,-66092.0,-65440.0,-76613.0,-79006.0,-85826.0,-22017.0,-56451.0,-52483.0,-64127.0,-59807.0,-85678.0,-52724.0,-67226.0,-69812.0,-63124.0,-63452.0,-35213.0,-65788.0,-82312.0,-94051.0,-78891.0,-78649.0,-87469.0,-92574.0,-104542.0,-102074.0,-99216.0,-130558.0,-132721.0,-142146.0,-143328.0,-146432.0
3.04.02,Despesas Gerais e Administrativas,-29251.0,-35800.0,-50751.0,-53633.0,-43846.0,-56970.0,0.0,-365935.0,-58430.0,-73701.0,-66365.0,-73710.0,-76357.0,-77494.0,-83027.0,-56290.0,-56523.0,-52483.0,-64017.0,-59799.0,-85685.0,-52710.0,-68713.0,-67975.0,-64182.0,-64429.0,-125970.0,-66520.0,-83064.0,-94844.0,-79728.0,-82682.0,-82107.0,-95015.0,-106385.0,-103807.0,-101165.0,-133155.0,-135589.0,-145007.0,-145624.0,-148866.0
3.04.05,Outras Despesas Operacionais,-1117.0,-640.0,-615.0,-2294.0,-1015.0,-746.0,-47.0,-5643.0,-820.0,-2790.0,-175.0,-20816.0,-946.0,-1821.0,-2323.0,-10182.0,-2.0,0.0,-138.0,-8.0,-2.0,-20.0,-1.0,-3117.0,0.0,0.0,-3.0,0.0,0.0,0.0,-20.0,0.0,-5362.0,0.0,0.0,-2272.0,1949.0,0.0,0.0,-1949.0,2296.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-572.0,-282.0,-371.0,-1568.0,-242.0,-196.0,-293.0,-3627.0,-95.0,-143.0,-90.0,501.0,-82.0,-320.0,-851.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-42973.0,-47044.0,-75812.0,-130684.0,-135572.0,-100667.0,-156747.0,-189706.0,-45118.0,-77309.0,-97608.0,-68413.0,-87308.0,-30587.0,-27161.0,-53003.0,-41088.0,-13875.0,-98848.0,-41140.0,-87977.0,-90919.0,-75055.0,-131867.0,-8428.0,-45121.0,-21045.0,-214362.0,-130510.0,-147528.0,-394141.0,-293423.0,-114602.0,-224437.0,-380141.0,-431132.0,-140854.0,-301871.0,-378073.0,-452450.0,-459964.0,-520887.0
3.06,Resultado Financeiro,-40427.0,-41776.0,-64638.0,-39280.0,13853.0,4504.0,2177.0,-3125.0,8716.0,13923.0,5494.0,24400.0,9233.0,13886.0,4069.0,-6190.0,-9132.0,-3333.0,-9500.0,-11547.0,-7787.0,-4438.0,-31357.0,16414.0,-4321.0,-3545.0,-48067.0,-16959.0,-16666.0,-6434.0,16373.0,36377.0,32042.0,32094.0,86556.0,20411.0,32128.0,104853.0,5660.0,89333.0,51113.0,6499.0
3.06.01,Receitas Financeiras,2007.0,3776.0,2319.0,2744.0,14895.0,5667.0,6073.0,5942.0,13080.0,16119.0,7854.0,32231.0,13623.0,22122.0,9664.0,8467.0,1053.0,5269.0,2886.0,-829.0,266.0,1847.0,8980.0,134.0,5.0,2.0,7.0,50.0,19.0,11022.0,37178.0,55982.0,51146.0,48068.0,96683.0,38812.0,83562.0,151095.0,67689.0,156005.0,80134.0,27251.0
3.06.02,Despesas Financeiras,-42434.0,-45552.0,-66957.0,-42024.0,-1042.0,-1163.0,-3896.0,-9067.0,-4364.0,-2196.0,-2360.0,-7831.0,-4390.0,-8236.0,-5595.0,-14657.0,-10185.0,-8602.0,-12386.0,-10718.0,-8053.0,-6285.0,-40337.0,16280.0,-4326.0,-3547.0,-48074.0,-17009.0,-16685.0,-17456.0,-20805.0,-19605.0,-19104.0,-15974.0,-10127.0,-18401.0,-51434.0,-46242.0,-62029.0,-66672.0,-29021.0,-20752.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-83400.0,-88820.0,-140450.0,-169964.0,-121719.0,-96163.0,-154570.0,-192831.0,-36402.0,-63386.0,-92114.0,-44013.0,-78075.0,-16701.0,-23092.0,-59193.0,-50220.0,-17208.0,-108348.0,-52687.0,-95764.0,-95357.0,-106412.0,-115453.0,-12749.0,-48666.0,-69112.0,-231321.0,-147176.0,-153962.0,-377768.0,-257046.0,-82560.0,-192343.0,-293585.0,-410721.0,-108726.0,-197018.0,-372413.0,-363117.0,-408851.0,-514388.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
