cd_conta,conta,2010T3,2011T3,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,0.000,64836.000,-11908.000,38311.000,72286.000,56221.000,-62310.000,-10713.000,9425.000,238445.000,-28589.000,14816.000,100480.000,166435.000,-12402.000,37379.000,94992.000,27996.000,-123199.000,59115.000,4230.000,151833.000,-45333.000,53120.000,-67776.000,130456.000,-177100.000,-162190.000,-31758.000,46197.000,33386.000,28030.000,29118.000,21177.000,43122.000,65613.000,24095.000,66072.000,1135.000,49539.000,116617.000,8992.000,48548.000,72037.000,57093.000,60272.000,46275.000,85324.000,138087.000
6.02,Caixa Líquido Atividades de Investimento,0.000,-119449.000,13356.000,-7328.000,-95380.000,-5031.000,22832.000,8765.000,11198.000,-27990.000,20965.000,2370.000,-14140.000,-42741.000,-23928.000,-44980.000,-75131.000,29829.000,-26180.000,-36426.000,-37942.000,-48549.000,-42211.000,-34628.000,-28618.000,-7257.000,-28262.000,-17220.000,-17163.000,-17961.000,-19647.000,-17277.000,-23787.000,-26940.000,-37189.000,-31199.000,-27257.000,-37100.000,-41670.000,-87781.000,-135025.000,96529.000,-28390.000,-40434.000,-33450.000,-30288.000,-15532.000,-45049.000,-74847.000
6.03,Caixa Líquido Atividades de Financiamento,0.000,102847.000,8845.000,140328.000,96924.000,-47303.000,-159271.000,-281669.000,-300101.000,363206.000,-25036.000,-126900.000,-152335.000,203464.000,-93023.000,-171445.000,-154369.000,418408.000,-72688.000,100190.000,-37833.000,-94556.000,415307.000,-170411.000,16458.000,364.000,-128700.000,115607.000,26763.000,-19205.000,-24748.000,-6984.000,-7085.000,-7302.000,-15507.000,-35230.000,5066.000,-5806.000,23233.000,14358.000,-3736.000,-59818.000,-23601.000,-32859.000,-25840.000,-19006.000,-22942.000,-42049.000,-61675.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,0.000,48234.000,10293.000,171311.000,73830.000,3887.000,-198749.000,-283617.000,-279478.000,573661.000,-32660.000,-109714.000,-65995.000,327158.000,-129353.000,-179046.000,-134508.000,476233.000,-222067.000,122879.000,-71545.000,8728.000,327763.000,-151919.000,-79936.000,123563.000,-334062.000,-63803.000,-22158.000,9031.000,-11009.000,3769.000,-1754.000,-13065.000,-9574.000,-816.000,1904.000,23166.000,-17302.000,-23884.000,-22144.000,45703.000,-3443.000,-1256.000,-2197.000,10978.000,7801.000,-1774.000,1565.000
