cd_conta,conta,2010T4,2011T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,0.000,466015.000,3381678.000,3239435.000,3141132.000,3197811.000,3178126.000,3111133.000,3028241.000,3080559.000,3179649.000,3083983.000,3053470.000,3101120.000,3690947.000,3594381.000,3770507.000,3722373.000,3708429.000,4395705.000,4412218.000,4355335.000,4284088.000,2704279.000,2564272.000,2494651.000,2155276.000,2116131.000,2139003.000,2120017.000,1521465.000,1533102.000,1528533.000,1544169.000,1591681.000,1635257.000,1668713.000,1684477.000,1652876.000,1657251.000,1665455.000,1640901.000,1656533.000,1646867.000,1679929.000,1686015.000
2.01,Passivo Circulante,0.000,94250.000,781836.000,614086.000,796872.000,801437.000,720210.000,760521.000,807167.000,936232.000,1025396.000,1005561.000,793079.000,934990.000,976032.000,909459.000,880511.000,785624.000,960381.000,1034363.000,1115029.000,1058981.000,1149491.000,1010907.000,1126953.000,278877.000,293296.000,291231.000,370501.000,428865.000,481113.000,540290.000,605780.000,724594.000,375533.000,330594.000,350790.000,367362.000,309620.000,300498.000,314439.000,292740.000,321773.000,341479.000,374813.000,381051.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,22646.000,52141.000,48240.000,47030.000,47486.000,44586.000,43570.000,49095.000,51110.000,55728.000,45906.000,51032.000,50087.000,45400.000,42701.000,48296.000,46572.000,39615.000,44502.000,57111.000,45751.000,49306.000,45387.000,48848.000,48809.000,43222.000,43093.000,59338.000,61656.000,58352.000,51519.000,59626.000,60890.000,61671.000,57681.000,60009.000,60533.000,49388.000,45191.000,54528.000,54495.000,49108.000,46811.000,57533.000,58142.000
2.01.02,Fornecedores,0.000,48650.000,138804.000,130692.000,133228.000,128144.000,142878.000,142223.000,193381.000,235498.000,250976.000,254896.000,215970.000,262095.000,274886.000,240784.000,261624.000,219182.000,224562.000,284954.000,334534.000,309023.000,317793.000,280574.000,135934.000,108404.000,116160.000,122602.000,128803.000,132666.000,116838.000,133279.000,120896.000,125538.000,129559.000,144340.000,120009.000,133602.000,96774.000,114926.000,121504.000,119880.000,104272.000,129679.000,122591.000,125934.000
2.01.03,Obrigações Fiscais,0.000,10867.000,44961.000,25904.000,30238.000,29004.000,51912.000,37015.000,29017.000,35960.000,52984.000,41182.000,83109.000,76923.000,54435.000,42257.000,37933.000,40925.000,32832.000,22661.000,32006.000,22909.000,41880.000,25372.000,30013.000,25681.000,25403.000,18388.000,32311.000,28607.000,45681.000,35943.000,36044.000,29312.000,41768.000,26845.000,56185.000,55097.000,49017.000,33802.000,44872.000,29905.000,30659.000,18565.000,27839.000,20650.000
2.01.04,Empréstimos e Financiamentos,0.000,2549.000,481443.000,368848.000,552896.000,562649.000,440856.000,500714.000,492484.000,571019.000,625463.000,630423.000,409433.000,513610.000,469809.000,467033.000,462765.000,458762.000,615928.000,644192.000,672332.000,667666.000,652383.000,636374.000,885268.000,58402.000,83256.000,83266.000,125847.000,165028.000,202678.000,252573.000,341023.000,433590.000,52558.000,51723.000,53279.000,55204.000,56153.000,54861.000,53707.000,54645.000,107806.000,113852.000,132641.000,139833.000
2.01.05,Outras Obrigações,0.000,9538.000,64487.000,40402.000,33480.000,34154.000,39978.000,36999.000,43190.000,42645.000,40245.000,33154.000,33535.000,32275.000,131502.000,116684.000,69893.000,20183.000,47444.000,38054.000,19046.000,13632.000,57843.000,5528.000,9507.000,12960.000,10158.000,9837.000,11822.000,29055.000,36698.000,47271.000,31012.000,58424.000,71995.000,34007.000,46306.000,46092.000,42368.000,34257.000,20016.000,11777.000,9024.000,11055.000,11931.000,16091.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30286.000,17672.000,17383.000,24621.000,15097.000,14045.000,12380.000,11853.000,20866.000,19705.000,17179.000,16840.000,17982.000,15998.000,15002.000,16834.000,15920.000,17461.000,19812.000,22038.000,20904.000,21517.000,22278.000,20401.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,0.000,209008.000,796051.000,803275.000,567909.000,642676.000,714999.000,632201.000,515068.000,446900.000,473190.000,407349.000,580677.000,492590.000,568420.000,517940.000,692649.000,731488.000,522175.000,1148268.000,1043247.000,1093437.000,852283.000,812785.000,704018.000,1594893.000,1585152.000,1586408.000,1585558.000,1557586.000,1568076.000,1579106.000,1553088.000,1516726.000,280919.000,282817.000,290879.000,288759.000,310563.000,319287.000,307832.000,316781.000,291476.000,275950.000,259161.000,250059.000
