cd_conta_padrao,ds_conta_padrao,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,2511746.0,676820.0,-55926.0,138887.0,2021795.0,686246.0,-14468.0,136917.0,2210107.0,743303.0,14121.0,191046.0,2490022.0,831230.0,24108.0,79911.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1937650.0,-449679.0,-9878.0,-72464.0,-1401736.0,-422478.0,-39929.0,-89239.0,-1444256.0,-522034.0,-39101.0,-212822.0,-1880348.0,-508765.0,-142491.0,-165604.0
3.03,Resultado Bruto,574096.0,227141.0,-65804.0,66423.0,620059.0,263768.0,-54397.0,47678.0,765851.0,221269.0,-24980.0,-21776.0,609674.0,322465.0,-118383.0,-85693.0
3.04,Despesas/Receitas Operacionais,-146887.0,-48465.0,10562.0,-4042.0,-123761.0,-38091.0,-485.0,-1256.0,-56735.0,-95703.0,13020.0,7899.0,-227149.0,-84499.0,30003.0,19360.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,427209.0,178676.0,-55242.0,62381.0,496298.0,225677.0,-54882.0,46422.0,709116.0,125566.0,-11960.0,-13877.0,382525.0,237966.0,-88380.0,-66333.0
3.06,Resultado Financeiro,-457708.0,-94617.0,-11825.0,65604.0,-278702.0,-137127.0,9984.0,12080.0,-423240.0,-115776.0,-6716.0,9024.0,-338193.0,-206958.0,74427.0,70184.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-30499.0,84059.0,-67067.0,127985.0,217596.0,88550.0,-44898.0,58502.0,285876.0,9790.0,-18676.0,-4853.0,44332.0,31008.0,-13953.0,3851.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,547011.0,-7269.0,5445.0,-43774.0,-19313.0,-20878.0,14582.0,5488.0,-53132.0,-1268.0,8846.0,-1345.0,-8671.0,-17462.0,7544.0,3251.0
3.09,Resultado Líquido das Operações Continuadas,516512.0,76790.0,-61622.0,84211.0,198283.0,67672.0,-30316.0,63990.0,232744.0,8522.0,-9830.0,-6198.0,35661.0,13546.0,-6409.0,7102.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,516512.0,76790.0,-61622.0,84211.0,198283.0,67672.0,-30316.0,63990.0,232744.0,8522.0,-9830.0,-6198.0,35661.0,13546.0,-6409.0,7102.0
3.99,Lucro por Ação - (Reais / Ação),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
