cd_conta_padrao,ds_conta_padrao,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,11768649.0,12343959.0,13938762.0,14484724.0,11386380.0,11355598.0,11283826.0,11297173.0,10984130.0,10957424.0,11402619.0,11259459.0,11078243.0,10413555.0,10529993.0,10649506.0
1.01,Ativo Circulante,2279670.0,2557424.0,3799625.0,3627980.0,2055896.0,2080465.0,2002766.0,1994880.0,1741462.0,1682495.0,2196035.0,1998841.0,1944198.0,1394811.0,1626085.0,1690037.0
1.01.01,Caixa e Equivalentes de Caixa,1651053.0,78586.0,521089.0,38034.0,36114.0,20800.0,20281.0,15283.0,227692.0,105521.0,156301.0,135328.0,1178754.0,742038.0,1082926.0,977125.0
1.01.02,Aplicações Financeiras,0.0,1861403.0,2718969.0,2990968.0,1435483.0,1446737.0,1383005.0,1335597.0,968263.0,1005396.0,1453841.0,1261935.0,0.0,0.0,0.0,84493.0
1.01.03,Contas a Receber,364560.0,299197.0,265347.0,290522.0,306306.0,311717.0,315804.0,326832.0,337071.0,346420.0,332773.0,360180.0,394097.0,402548.0,357075.0,453893.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,74452.0,84966.0,74608.0,80489.0,59731.0,81419.0,93518.0,112990.0,76207.0,91112.0,89725.0,100123.0,104230.0,65962.0,54853.0,54550.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14679.0,4763.0
1.01.08,Outros Ativos Circulantes,189605.0,233272.0,219612.0,227967.0,218262.0,219792.0,190158.0,204178.0,132229.0,134046.0,163395.0,141275.0,267117.0,184263.0,116552.0,115213.0
1.02,Ativo Não Circulante,9488979.0,9786535.0,10139137.0,10856744.0,9330484.0,9275133.0,9281060.0,9302293.0,9242668.0,9274929.0,9206584.0,9260618.0,9134045.0,9018744.0,8903908.0,8959469.0
1.02.01,Ativo Realizável a Longo Prazo,336896.0,388099.0,415348.0,430305.0,444283.0,436947.0,502269.0,539411.0,522664.0,606216.0,648087.0,668008.0,661504.0,694266.0,691780.0,754181.0
1.02.02,Investimentos,87491.0,85611.0,90395.0,105596.0,1098047.0,1107678.0,1113946.0,1109852.0,1278747.0,1350417.0,1323856.0,1411193.0,1384708.0,1339808.0,1319443.0,1311555.0
1.02.03,Imobilizado,7343248.0,7615914.0,7954830.0,8655453.0,6539861.0,6512737.0,6475577.0,6496474.0,6348930.0,6287763.0,6226661.0,6205242.0,6143674.0,6081850.0,6007658.0,6043402.0
1.02.04,Intangível,1721344.0,1696911.0,1678564.0,1665390.0,1248293.0,1217771.0,1189268.0,1156556.0,1092327.0,1030533.0,1007980.0,976175.0,944159.0,902820.0,885027.0,850331.0
