especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,150000000,300000000,300000000,300000000,342726580,300000000,300000000,300000000,300000000,443781062,443781062,463830085,581715639,622672736,ON
TOTAL,150000000,300000000,300000000,300000000,342726580,300000000,300000000,300000000,300000000,443781062,443781062,463830085,581715639,622672736,TOTAL
