cd_conta,conta,2021T4,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,6573254.000,8051337.000,8597426.000,8439133.000,8465632.000,8703188.000,8988598.000,8767730.000,8583604.000,8642359.000,8983695.000,8668631.000,9115564.000,9267606.000
1.01,Ativo Circulante,3512500.000,4058345.000,4127912.000,3959459.000,4176677.000,4413719.000,4493557.000,4272454.000,4191468.000,4301824.000,4614664.000,4407375.000,4959877.000,5134852.000
1.01.01,Caixa e Equivalentes de Caixa,654121.000,252801.000,163742.000,125699.000,311397.000,525499.000,438500.000,232516.000,108208.000,169595.000,149126.000,116272.000,243754.000,106253.000
1.01.02,Aplicações Financeiras,0.000,0.000,4362.000,4475.000,4587.000,4705.000,4808.000,0.000,0.000,0.000,260.000,20.000,24.000,9.000
1.01.03,Contas a Receber,669015.000,758322.000,686621.000,535421.000,659086.000,708259.000,780978.000,882543.000,1052702.000,1004292.000,842102.000,933521.000,1197737.000,1346141.000
1.01.04,Estoques,1956957.000,2789217.000,3029159.000,3029639.000,2934977.000,2919028.000,3029712.000,2886881.000,2798282.000,2973059.000,3359412.000,3073625.000,3218531.000,3370799.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,232407.000,258005.000,244028.000,264225.000,266630.000,256228.000,239559.000,270514.000,232276.000,154878.000,263764.000,283937.000,299831.000,306640.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5010.000
1.02,Ativo Não Circulante,3060754.000,3992992.000,4469514.000,4479674.000,4288955.000,4289469.000,4495041.000,4495276.000,4392136.000,4340535.000,4369031.000,4261256.000,4155687.000,4132754.000
1.02.01,Ativo Realizável a Longo Prazo,648692.000,919503.000,1073734.000,1174784.000,1157797.000,1216456.000,1358923.000,1388571.000,1373103.000,1386414.000,1407900.000,1387174.000,1331033.000,1322672.000
1.02.02,Investimentos,72596.000,74764.000,76284.000,75131.000,76934.000,78503.000,79995.000,78952.000,80446.000,78200.000,80115.000,79692.000,82076.000,79859.000
1.02.03,Imobilizado,665611.000,959923.000,1044838.000,1032670.000,1003592.000,955700.000,949597.000,920848.000,914363.000,886500.000,2709408.000,2628192.000,2576727.000,2562721.000
1.02.04,Intangível,1673855.000,2038802.000,2274658.000,2197089.000,2050632.000,2038810.000,2106526.000,2106905.000,2024224.000,1989421.000,171608.000,166198.000,165851.000,167502.000
