cd_conta,conta,2022T3,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,265611.0,143060.0,91902.0,110517.0,146100.0,-61412.0,33105.0,202212.0,210572.0,67163.0,-13437.0,13810.0
6.01.DA,Depreciação e Amortização,268825.0,132256.0,130128.0,147704.0,117175.0,129023.0,257641.0,386379.0,-254914.0,128494.0,258989.0,391494.0
6.02,Caixa Líquido Atividades de Investimento,-562258.0,-38251.0,-26665.0,-9278.0,-239947.0,-7131.0,-33368.0,-52507.0,1280.0,-24632.0,-67446.0,-135619.0
6.03,Caixa Líquido Atividades de Financiamento,-104673.0,-142852.0,120461.0,112863.0,6848.0,-137441.0,-330029.0,-418610.0,303955.0,-75385.0,175511.0,78936.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,Aumento (Redução) de Caixa e Equivalentes,-401320.0,-38043.0,185698.0,214102.0,-86999.0,-205984.0,-330292.0,-268905.0,515807.0,-32854.0,94628.0,-42873.0
