cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,723913.000,866866.000,939330.000,1181162.000,834818.000,830034.000,1401319.000,1656242.000,1127563.000,1527247.000,1426532.000,1657191.000,1368176.000,1269146.000,1127925.000,1362534.000,1361975.000,1540747.000,1522512.000,1429681.000,1419117.000,1310738.000,1404897.000,1386629.000,1197135.000,1392922.000,1412852.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-607617.000,-707517.000,-792189.000,-1018294.000,-723093.000,-710693.000,-1164066.000,-1386282.000,-947265.000,-1306333.000,-1212187.000,-1464925.000,-1175259.000,-1086998.000,-954037.000,-1138895.000,-1186583.000,-1371293.000,-1364343.000,-1254399.000,-1251169.000,-1150077.000,-1253275.000,-1209379.000,-1050714.000,-1243439.000,-1262362.000
3.03,Resultado Bruto,116296.000,159349.000,147141.000,162868.000,111725.000,119341.000,237253.000,269960.000,180298.000,220914.000,214345.000,192266.000,192917.000,182148.000,173888.000,223639.000,175392.000,169454.000,158169.000,175282.000,167948.000,160661.000,151622.000,177250.000,146421.000,149483.000,150490.000
3.04,Despesas/Receitas Operacionais,-92401.000,-96505.000,-96306.000,-120829.000,-89786.000,-98969.000,-125055.000,-154084.000,-108338.000,-14343.000,-127141.000,-150491.000,-129969.000,-130229.000,-134992.000,-169993.000,-126080.000,-117219.000,-116907.000,-101456.000,-122750.000,-113681.000,-96175.000,-136036.000,-108811.000,-108026.000,230053.000
3.04.02,Despesas Gerais e Administrativas,-30674.000,-30312.000,-30308.000,-33690.000,-33493.000,-22999.000,-33736.000,-42771.000,-32020.000,-34750.000,-35981.000,-40618.000,-37841.000,-39522.000,-31363.000,-32559.000,-29187.000,-30497.000,-32654.000,-32384.000,-30574.000,-32555.000,-38024.000,-32641.000,-25236.000,-31271.000,-33378.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,-1510.000,1510.000,0.000,0.000,-505.000,505.000,0.000,0.000,-5983.000,5983.000,0.000,0.000,-113.000,113.000,-543.000,0.000,54327.000,-53784.000,2169.000,0.000,346215.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,23895.000,62844.000,50835.000,42039.000,21939.000,20372.000,112198.000,115876.000,71960.000,206571.000,87204.000,41775.000,62948.000,51919.000,38896.000,53646.000,49312.000,52235.000,41262.000,73826.000,45198.000,46980.000,55447.000,41214.000,37610.000,41457.000,380543.000
3.06,Resultado Financeiro,-18273.000,-18018.000,-16410.000,-16079.000,-19455.000,-18101.000,-16956.000,-23613.000,-16210.000,2403.000,-27264.000,-54580.000,-40899.000,-21537.000,-39379.000,-53247.000,-36657.000,-36650.000,-20717.000,-23491.000,-19280.000,-21439.000,-18314.000,-28785.000,-23937.000,-27853.000,-24867.000
3.06.01,Receitas Financeiras,2820.000,1493.000,1576.000,5430.000,2239.000,4870.000,2757.000,1649.000,1290.000,18351.000,2615.000,5468.000,8743.000,11477.000,13373.000,6861.000,11328.000,9551.000,12274.000,11747.000,12731.000,11899.000,16259.000,11215.000,3932.000,6242.000,13035.000
3.06.02,Despesas Financeiras,-21093.000,-19511.000,-17986.000,-21509.000,-21694.000,-22971.000,-19713.000,-25262.000,-17500.000,-15948.000,-29879.000,-60048.000,-49642.000,-33014.000,-52752.000,-60108.000,-47985.000,-46201.000,-32991.000,-35238.000,-32011.000,-33338.000,-34573.000,-40000.000,-27869.000,-34095.000,-37902.000
3.07,Resultado Antes dos Tributos sobre o Lucro,5622.000,44826.000,34425.000,25960.000,2484.000,2271.000,95242.000,92263.000,55750.000,208974.000,59940.000,-12805.000,22049.000,30382.000,-483.000,399.000,12655.000,15585.000,20545.000,50335.000,25918.000,25541.000,37133.000,12429.000,13673.000,13604.000,355676.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,4417.000,-9771.000,-9061.000,4212.000,6774.000,6103.000,-18197.000,-19295.000,-9381.000,-56638.000,8502.000,33889.000,435.000,-6321.000,6690.000,22995.000,3671.000,1276.000,-1027.000,19404.000,24225.000,-10770.000,-16201.000,47257.000,1388.000,2253.000,-93072.000
3.09,Resultado Líquido das Operações Continuadas,10039.000,35055.000,25364.000,30172.000,9258.000,8374.000,77045.000,72968.000,46369.000,152336.000,68442.000,21084.000,22484.000,24061.000,6207.000,23394.000,16326.000,16861.000,19518.000,69739.000,50143.000,14771.000,20932.000,59686.000,15061.000,15857.000,262604.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
