cd_conta,conta,2010T1,2010T2,2010T3,2011T1,2011T2,2011T3,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-5556.000,-10666.000,-14952.000,103.000,-3959.000,27333.000,14542.000,15830.000,11347.000,-4916.000,1798.000,-7915.000,10560.000,-6653.000,-28914.000,-7582.000,29114.000,77962.000,-14911.000,29583.000,22844.000,-82650.000,46068.000,-7662.000,104991.000,-4455.000,38927.000,7883.000,36848.000,19078.000,9895.000,-11104.000,17192.000,-10591.000,-21294.000,-18773.000,209875.000,1019.000,48206.000,83796.000,29531.000,91149.000,40912.000,78289.000,120770.000,48130.000,84952.000,38940.000,98552.000,4571.000,-11754.000,8876.000,97047.000,92164.000,-62667.000,30928.000,103306.000,23246.000,143586.000,189951.000,207516.000
6.01.DA,Depreciação e Amortização,,,,3951.000,7887.000,11894.000,4035.000,4131.000,4060.000,3507.000,3532.000,3665.000,5044.000,6293.000,6424.000,12656.000,18866.000,-12691.000,6483.000,7785.000,8929.000,9166.000,9392.000,9741.000,10028.000,10343.000,9843.000,9833.000,9944.000,10391.000,10845.000,11023.000,10838.000,10896.000,13002.000,13437.000,13143.000,15203.000,20467.000,24259.000,1524.000,15771.000,16744.000,16812.000,19740.000,18920.000,20553.000,21321.000,23776.000,26319.000,30356.000,64802.000,101490.000,-58528.000,43727.000,43652.000,47128.000,48946.000,50224.000,101652.000,150718.000
6.02,Caixa Líquido Atividades de Investimento,-6717.000,-8401.000,-9823.000,-1973.000,-4588.000,-8684.000,-5605.000,-9693.000,-8149.000,-7590.000,-32227.000,-50151.000,-9112.000,-8794.000,-20534.000,-40172.000,-79077.000,-15253.000,-38644.000,-48020.000,-12747.000,-10395.000,-10108.000,-7299.000,-3944.000,-3791.000,-4187.000,-7865.000,-2659.000,-12823.000,-19746.000,-15790.000,-13748.000,-16377.000,-16451.000,-37108.000,-27155.000,-14121.000,-14322.000,-63914.000,-17208.000,-39042.000,-79220.000,23575.000,-21387.000,-37899.000,-15557.000,-58360.000,-93450.000,-38605.000,-85192.000,-204146.000,-272721.000,229228.000,-30820.000,-66238.000,-46799.000,-40046.000,-46035.000,-79935.000,-102088.000
6.03,Caixa Líquido Atividades de Financiamento,13648.000,16291.000,28336.000,19815.000,9207.000,-21531.000,-12001.000,10101.000,-10871.000,55764.000,38656.000,64316.000,45649.000,-47320.000,16101.000,46311.000,70922.000,-14172.000,98675.000,-91933.000,13944.000,129535.000,-34131.000,16584.000,-33040.000,-45132.000,-21823.000,-20291.000,-45348.000,894.000,-19429.000,196102.000,-105552.000,-22607.000,106287.000,-41064.000,92431.000,-40892.000,15520.000,-62588.000,-5170.000,-15011.000,-45124.000,-170565.000,59336.000,-153424.000,-34894.000,-14193.000,-61523.000,155937.000,230604.000,348214.000,245317.000,-447253.000,-67989.000,-56137.000,-109073.000,-87215.000,236192.000,99286.000,64646.000
6.04,Variação Cambial s/ Caixa e Equivalentes,55.000,53.000,35.000,-11.000,-39.000,160.000,-14.000,51.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2472.000,-1141.000,-2076.000,-2383.000
6.05,Aumento (Redução) de Caixa e Equivalentes,1430.000,-2723.000,3596.000,17934.000,621.000,-2722.000,-3078.000,16289.000,-7667.000,43261.000,8227.000,6250.000,47097.000,-62767.000,-33347.000,-1443.000,20959.000,48537.000,45120.000,-110370.000,24041.000,36490.000,1829.000,1623.000,68007.000,-53378.000,12917.000,-20273.000,-11159.000,7149.000,-29280.000,169208.000,-102108.000,-49575.000,68542.000,-96945.000,275151.000,-53994.000,49404.000,-42706.000,7153.000,37096.000,-83432.000,-68701.000,158719.000,-143193.000,34501.000,-33613.000,-56421.000,121903.000,133658.000,152944.000,69643.000,-125861.000,-161476.000,-91447.000,-52566.000,-101543.000,332602.000,207226.000,167691.000
