cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,552785.000,563423.000,658848.000,722138.000,681552.000,706353.000,757513.000,772712.000,774743.000,789479.000,807001.000,795577.000,793304.000,813126.000,935939.000,963866.000,945053.000,904571.000,1007404.000,1035188.000,1006997.000,949434.000,978094.000,993570.000,1046965.000,963143.000,1123166.000,1305999.000,1339578.000,1345782.000,1563384.000,1809535.000,1822736.000,1740223.000,2073105.000,2259740.000,2447698.000,2381296.000,2671176.000,2695467.000,2794632.000,1570102.000,3067549.000,2875332.000,2797122.000,2695708.000,2772251.000,2636255.000,2711652.000,3049431.000,6136946.000,5885539.000,6825668.000,6846159.000,7321957.000,7908500.000,8686390.000,9049049.000,9683367.000,9852752.000,10139283.000,9900107.000,10731975.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-406403.000,-396187.000,-456595.000,-494214.000,-479779.000,-484221.000,-518659.000,-532501.000,-545014.000,-652607.000,-587139.000,-548231.000,-551633.000,-553991.000,-660321.000,-678219.000,-661061.000,-609350.000,-711923.000,-728214.000,-701581.000,-645233.000,-664915.000,-677097.000,-720628.000,-662637.000,-807144.000,-958825.000,-969476.000,-963201.000,-1151208.000,-1326970.000,-1305972.000,-1262794.000,-1567989.000,-1689155.000,-1852028.000,-1804173.000,-2055620.000,-1974123.000,-2052429.000,-1222821.000,-2277634.000,-1855763.000,-1729858.000,-1696191.000,-1321793.000,-1454728.000,-1436634.000,-1788398.000,-3996289.000,-3914138.000,-4684229.000,-5391332.000,-5083394.000,-5471251.000,-6164409.000,-8399516.000,-6922349.000,-7032422.000,-7268161.000,-7062702.000,-8595826.000
3.03,Resultado Bruto,146382.000,167236.000,202253.000,227924.000,201773.000,222132.000,238854.000,240211.000,229729.000,136872.000,219862.000,247346.000,241671.000,259135.000,275618.000,285647.000,283992.000,295221.000,295481.000,306974.000,305416.000,304201.000,313179.000,316473.000,326337.000,300506.000,316022.000,347174.000,370102.000,382581.000,412176.000,482565.000,516764.000,477429.000,505116.000,570585.000,595670.000,577123.000,615556.000,721344.000,742203.000,347281.000,789915.000,1019569.000,1067264.000,999517.000,1450458.000,1181527.000,1275018.000,1261033.000,2140657.000,1971401.000,2141439.000,1454827.000,2238563.000,2437249.000,2521981.000,649533.000,2761018.000,2820330.000,2871122.000,2837405.000,2136149.000
3.04,Despesas/Receitas Operacionais,-48889.000,-56812.000,-63586.000,-84227.000,-67953.000,-71101.000,-81565.000,-86644.000,-85244.000,-94597.000,-91049.000,-97091.000,-93590.000,-94264.000,-101305.000,-120845.000,-99094.000,-110806.000,-112025.000,-133106.000,-119179.000,-124917.000,-118251.000,-141414.000,-123894.000,-121479.000,-128264.000,-145210.000,-140033.000,-147054.000,-169865.000,-221338.000,-186850.000,-200440.000,-204778.000,-223187.000,-217112.000,-235090.000,-258811.000,-309053.000,-307841.000,-128912.000,-286290.000,-374191.000,-358928.000,-326250.000,-381615.000,-407907.000,-323051.000,-368536.000,-681530.000,-745567.000,-501855.000,-634503.000,-606772.000,-630406.000,-671062.000,-761437.000,-728198.000,-786996.000,-807138.000,-816982.000,-803760.000
3.04.02,Despesas Gerais e Administrativas,-11293.000,-13178.000,-15995.000,-19466.000,-17767.000,-19132.000,-20431.000,-22638.000,-22515.000,-29457.000,-26727.000,-26756.000,-26435.000,-26215.000,-25672.000,-39072.000,-25858.000,-34106.000,-33892.000,-46494.000,-31205.000,-37444.000,-39583.000,-46804.000,-38068.000,-39348.000,-36768.000,-45896.000,-36503.000,-41739.000,-50982.000,-50256.000,-40486.000,-48140.000,-46101.000,-58135.000,-44082.000,-53789.000,-61756.000,-84753.000,-63572.000,-63966.000,-68579.000,-87168.000,-75883.000,-88713.000,-99618.000,-127355.000,-105309.000,-126754.000,-328840.000,-299179.000,-140308.000,-209084.000,-168346.000,-164199.000,-178281.000,-219928.000,-176415.000,-217371.000,-215439.000,-198688.000,-225984.000
3.04.05,Outras Despesas Operacionais,-980.000,-1574.000,-1872.000,-14956.000,-735.000,-81.000,254.000,-2308.000,0.000,-66.000,0.000,66.000,-152.000,-59.000,-235.000,-2870.000,-272.000,-144.000,2073.000,-1353.000,-1573.000,374.000,191.000,-1522.000,-151.000,143.000,-106.000,5436.000,-231.000,-4.000,-3851.000,-34754.000,-7148.000,-4084.000,-4610.000,-6244.000,-9910.000,-10306.000,-6704.000,-1385.000,-17625.000,121590.000,647.000,-30547.000,-4618.000,940.000,1519.000,3134.000,1808.000,11904.000,35892.000,-15809.000,13856.000,13677.000,0.000,-27533.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.000,12.000,-60.000,-19.000,-403.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,97493.000,110424.000,138667.000,143697.000,133820.000,151031.000,157289.000,153567.000,144485.000,42275.000,128813.000,150255.000,148081.000,164871.000,174313.000,164802.000,184898.000,184415.000,183456.000,173868.000,186237.000,179284.000,194928.000,175059.000,202443.000,179027.000,187758.000,201964.000,230069.000,235527.000,242311.000,261227.000,329914.000,276989.000,300338.000,347398.000,378558.000,342033.000,356745.000,412291.000,434362.000,218369.000,503625.000,645378.000,708336.000,673267.000,1068843.000,773620.000,951967.000,892497.000,1459127.000,1225834.000,1639584.000,820324.000,1631791.000,1806843.000,1850919.000,-111904.000,2032820.000,2033334.000,2063984.000,2020423.000,1332389.000
3.06,Resultado Financeiro,-28173.000,-29195.000,-31440.000,-41285.000,-42857.000,-45168.000,-49801.000,-41214.000,-43579.000,-34099.000,-30456.000,-30568.000,-23000.000,-21108.000,-28089.000,-38367.000,-34306.000,-42642.000,-42465.000,-31636.000,-47962.000,-51461.000,-59714.000,-43527.000,-67669.000,-49489.000,-53709.000,-72697.000,-74829.000,-67166.000,-79352.000,-93652.000,-88885.000,-88796.000,-83693.000,-107534.000,-105168.000,-97897.000,-94138.000,-112590.000,-127633.000,-127258.000,-54492.000,-65030.000,-22236.000,-45882.000,-96845.000,-155980.000,-226950.000,-266312.000,-869235.000,-748003.000,-1069953.000,-1097302.000,-882771.000,-974315.000,-984569.000,-942851.000,-1044743.000,-966468.000,-1069677.000,-1125758.000,-1220035.000
3.06.01,Receitas Financeiras,8416.000,9989.000,11646.000,8151.000,8535.000,13485.000,15803.000,22508.000,14732.000,17674.000,14843.000,13330.000,14200.000,17518.000,17703.000,27109.000,30111.000,25816.000,23769.000,45632.000,37908.000,44671.000,43893.000,40885.000,44549.000,55381.000,58951.000,43067.000,54314.000,53309.000,51881.000,37380.000,44858.000,40878.000,37668.000,44497.000,52978.000,59857.000,63985.000,43353.000,35506.000,18461.000,35619.000,48384.000,27040.000,46981.000,63099.000,118835.000,128297.000,205967.000,267790.000,343490.000,225123.000,236984.000,453504.000,310026.000,321515.000,403528.000,404090.000,361626.000,351239.000,378728.000,470736.000
