cd_conta,conta,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1798300.000,2733022.000,3161540.000,3323218.000,3933727.000,3742918.000,4703859.000,5148820.000,6193860.000,6234905.000,6624795.000,7118794.000,7146492.000,7048483.000,7466035.000,7612231.000,8470247.000,8244964.000,8124505.000,8232827.000,8614447.000,7928283.000,8328862.000,8440562.000,8945967.000,8449215.000,8435538.000,9069848.000
1.01,Ativo Circulante,832866.000,712008.000,1114873.000,1146940.000,1560576.000,1076920.000,2037854.000,2510738.000,3289039.000,3235407.000,3314620.000,3905057.000,3617346.000,3410071.000,3642883.000,3590217.000,4526488.000,4199999.000,4076313.000,4247674.000,4688724.000,4089069.000,4561741.000,4570986.000,4874554.000,4318108.000,4189092.000,4783598.000
1.01.01,Caixa e Equivalentes de Caixa,23118.000,4397.000,4141.000,3531.000,105308.000,308127.000,1289943.000,1455159.000,514295.000,412542.000,390426.000,560975.000,549347.000,361159.000,407167.000,256589.000,418311.000,338939.000,173234.000,162883.000,875914.000,444611.000,703111.000,765340.000,996713.000,53706.000,429032.000,707345.000
1.01.02,Aplicações Financeiras,219700.000,687.000,97961.000,41901.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,749503.000,0.000,0.000
1.01.03,Contas a Receber,91119.000,156860.000,378890.000,442987.000,586449.000,21678.000,188382.000,389307.000,984491.000,753991.000,907821.000,1095655.000,1330303.000,1238135.000,1288808.000,1300045.000,1715172.000,1321185.000,1256228.000,1555697.000,1597414.000,1328490.000,1431372.000,1397348.000,1771289.000,1304453.000,1445313.000,1490307.000
1.01.04,Estoques,334899.000,367333.000,403141.000,423397.000,428544.000,432599.000,348321.000,418014.000,890780.000,1088225.000,1248009.000,1185955.000,1042336.000,1168956.000,1388619.000,1489632.000,1737002.000,2008393.000,2080859.000,1959912.000,1699339.000,1799471.000,1815259.000,1888703.000,1665936.000,1784886.000,1894080.000,2067502.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,138849.000,142653.000,209678.000,217726.000,417278.000,274084.000,177552.000,220653.000,752800.000,799570.000,697907.000,1005447.000,611081.000,565835.000,485672.000,462720.000,574406.000,411038.000,445657.000,459888.000,429716.000,395109.000,448828.000,361768.000,300299.000,263416.000,250958.000,289321.000
1.01.07,Despesas Antecipadas,25181.000,40078.000,21062.000,17398.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,0.000,0.000,0.000,22997.000,40432.000,33656.000,27605.000,146673.000,181079.000,70457.000,57025.000,84279.000,75986.000,72617.000,81231.000,81597.000,120444.000,120335.000,109294.000,86341.000,121388.000,163171.000,157827.000,140317.000,162144.000,169709.000,229123.000
1.02,Ativo Não Circulante,965434.000,2021014.000,2046667.000,2176278.000,2373151.000,2665998.000,2666005.000,2638082.000,2904821.000,2999498.000,3310175.000,3213737.000,3529146.000,3638412.000,3823152.000,4022014.000,3943759.000,4044965.000,4048192.000,3985153.000,3925723.000,3839214.000,3767121.000,3869576.000,4071413.000,4131107.000,4246446.000,4286250.000
1.02.01,Ativo Realizável a Longo Prazo,412843.000,412546.000,501287.000,505273.000,665324.000,932080.000,940750.000,913022.000,928522.000,895620.000,1102989.000,910925.000,1367362.000,1358331.000,1533653.000,1646788.000,1451182.000,1573839.000,1506213.000,1475389.000,1442969.000,1424414.000,1280571.000,1411940.000,1529018.000,1618694.000,1691544.000,1805719.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1751.000,4542.000,4879.000,5001.000,5521.000,6258.000,5169.000,4080.000,4479.000,4250.000,4629.000,4350.000,4383.000,3926.000,0.000
1.02.03,Imobilizado,448019.000,437787.000,1437542.000,1559869.000,1590242.000,1616091.000,1608059.000,1608093.000,1670668.000,1739344.000,1820735.000,1916007.000,1757954.000,1862696.000,1849883.000,1916007.000,2000123.000,1971808.000,2028929.000,1988177.000,1955083.000,1888988.000,1962427.000,1930465.000,2008819.000,1981734.000,2026864.000,2016416.000
1.02.04,Intangível,104572.000,1170681.000,107838.000,111136.000,117585.000,117827.000,117196.000,116967.000,305631.000,364534.000,386451.000,386805.000,403830.000,415634.000,435074.000,454340.000,487453.000,493797.000,506792.000,516418.000,523591.000,521333.000,519873.000,522542.000,529226.000,526296.000,524112.000,464115.000
