especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,211015279,242090125,242998022,243596138,243737164,244012980,ON
TOTAL,211015279,242090125,242998022,243596138,243737164,244012980,TOTAL
