cd_conta,conta,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1267759.44,1265385.402,1879528.915,1829191.979,1853538.751,1910658.526,2140696.717,1986396.9,2175350.642,2368822.204,2563868.834,2531547.266,2553457.711,2679775.949,2932172.811,2882159.409,2972573.616,3022750.955,3241590.055,3209953.49,3444075.468,3608126.568,4273730.31,4228263.908,4286200.854,4699193.137
1.01,Ativo Circulante,739039.095,729111.8,1319174.913,1212334.523,1242232.609,1294675.71,1422265.637,1204911.796,1314477.887,1400601.623,1583219.784,1496355.077,1471842.946,1499454.853,1761018.595,1681851.248,1749954.987,1733661.364,2056580.123,2002644.008,2120319.93,2250629.725,2781887.721,2645693.768,2704470.405,3028181.596
1.01.01,Caixa e Equivalentes de Caixa,66726.381,87703.619,435844.35,472788.78,584678.892,519414.402,492609.413,365925.257,361167.57,387128.369,325587.601,246371.969,164942.368,101668.44,160035.979,121463.721,78460.473,69518.707,221495.208,270202.965,274119.248,298901.827,278153.431,149941.103,186085.278,234362.978
1.01.02,Aplicações Financeiras,607.562,616.476,0.0,0.0,0.0,65815.223,44435.391,48845.056,68803.898,78650.466,141707.127,147312.733,111433.888,107623.206,155139.218,170131.551,128666.94,137315.36,82994.526,95284.698,67741.02,15155.452,4529.633,27136.693,0.0,0.0
1.01.03,Contas a Receber,224724.281,190605.986,425833.395,281886.03,212012.116,226695.601,410262.58,285004.009,366657.06,345355.949,531777.249,423384.101,491508.047,446811.965,663797.209,515481.328,603767.487,558868.97,830832.349,647678.461,734684.883,664111.592,955208.115,751029.759,785277.871,820656.471
1.01.04,Estoques,366879.548,364295.026,348034.168,384294.793,360530.64,367381.037,365184.367,410608.2,443718.574,525699.078,527139.036,620107.87,646090.699,774751.166,709711.831,802728.061,851364.872,876445.064,782706.418,841014.913,884934.787,1056186.551,1332577.733,1504038.862,1496595.382,1623502.751
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,62397.976,63122.038,95247.37,53898.777,61405.716,90851.623,94745.111,81618.906,60730.44,51465.023,47627.009,44653.803,44239.893,54311.004,55869.86,57102.615,69558.85,75213.059,118353.469,129255.861,139206.646,198385.707,189903.972,183742.941,171503.01,262980.964
1.01.07,Despesas Antecipadas,14317.535,14226.196,7419.394,7566.365,5329.476,3106.032,3261.917,12910.368,13400.345,12244.978,8223.085,14524.601,13628.051,14289.072,16464.498,14943.972,18136.365,16300.204,20198.153,19207.11,19633.346,17888.596,21514.837,29804.41,65008.864,86678.432
1.01.08,Outros Ativos Circulantes,3385.812,8542.459,6796.236,11899.778,18275.769,21411.792,11766.858,0.0,0.0,57.76,1158.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,Ativo Não Circulante,528720.345,536273.602,560354.002,616857.456,611306.142,615982.816,718431.08,781485.104,860872.755,968220.581,980649.05,1035192.189,1081614.765,1180321.095,1171154.216,1200308.161,1222618.629,1289089.591,1185009.932,1207309.482,1323755.538,1357496.843,1491842.589,1582570.14,1581730.449,1671011.541
1.02.01,Ativo Realizável a Longo Prazo,254123.628,254329.413,239188.482,284992.109,277476.055,267868.069,368543.151,412002.557,460393.161,522034.961,469787.167,505578.025,504947.474,527569.921,476750.797,480961.515,470809.806,495075.266,360073.084,356650.213,452394.15,451620.634,571344.988,639444.498,650854.239,652908.137
1.02.02,Investimentos,1938.614,1870.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02.03,Imobilizado,264199.958,270133.955,311422.998,322155.339,324796.422,334210.936,340757.353,359070.67,389116.458,432310.023,480987.952,500866.56,550425.301,615824.45,652164.662,675451.335,701404.739,738277.282,765745.983,787747.751,798605.662,827388.574,853171.562,875204.438,865697.212,955644.944
1.02.04,Intangível,8458.145,9939.422,9742.522,9710.008,9033.665,13903.811,9130.576,10411.877,11363.136,13875.597,29873.931,28747.604,26241.99,36926.723,42238.757,43895.311,50404.084,55737.043,59190.865,62911.518,72755.726,78487.635,67326.039,67921.204,65178.998,62458.46
