especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,236197769,236197769,236197769,236197769,236197769,236197769,ON
TOTAL,236197769,236197769,236197769,236197769,236197769,236197769,TOTAL
