codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,42755.6887,18382.0911,13422.5116,20339.0911,6559.0404,8868.1321,9812.9671
P_VPA,P/VPA,Valuation,x,12.0926,5.3531,3.9397,2.9248,3.8977,1.7245,2.2503,2.49
EV_EBITDA,EV/EBITDA,Valuation,x,,23.2553,14.4899,8.1149,10.6531,5.2758,6.463,7.12
EV_EBIT,EV/EBIT,Valuation,x,,29.8633,18.0218,12.6447,16.6517,6.4685,8.6983,9.5826
EV_RECEITA,EV/Receita,Valuation,x,,5.8463,3.6217,2.5812,3.4312,1.7158,2.4075,2.6522
DY,Dividend Yield,Valuation,%,,0.3985,1.412,0.2625,1.1413,2.045,2.3604,2.1331
PAYOUT,Payout,Valuation,%,,17.0378,25.9549,3.528,23.2971,13.4765,21.0036,21.0036
ROE,ROE,Rentabilidade,%,,16.5171,23.2813,23.6573,20.5611,29.4942,28.4565,28.4565
ROA,ROA,Rentabilidade,%,,8.6124,12.6894,13.1314,11.9617,17.3883,17.8742,17.8742
ROIC,ROIC,Rentabilidade,%,,13.2083,15.986,15.8429,15.6483,17.2674,16.1493,16.1493
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,25.1398,24.9945,31.8088,32.2089,32.5215,37.2498,37.2498
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,14.0015,20.3555,19.5719,16.8838,25.3537,25.8157,25.8157
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.5571,-0.4804,-0.1535,-0.0469,0.1383,0.2961,0.2961
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3178,-0.1252,-0.1264,-0.0543,-0.0171,0.0464,0.108,0.108
ICJ,ICJ,Endividamento,x,,3.1466,4.2639,4.0946,4.976,5.9816,4.3869,4.3869
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,63.2368,71.1775,43.6712,51.9507,41.0602,28.4448,7.713,7.713
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.1858,2.4145,2.348,2.4248,2.9566,2.7939,5.165,5.165
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0937,1.7946,1.5662,1.4476,1.8314,1.4556,2.3959,2.3959
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.4881,1.8477,1.753,1.7562,1.8478,1.8872,2.0876,2.0876
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.4893,0.5719,0.6288,0.6747,0.603,0.612,0.612
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,481.2737,410.7108,483.9462,501.4294,583.832,732.0019,732.0019
PME,PME,Eficiência,dias,,398.306,399.5924,445.4821,420.017,625.3889,724.0369,724.0369
NCG_RECEITA,NCG/Receita,Eficiência,%,,54.7945,38.7896,45.3732,53.4056,62.7403,78.2386,78.2386
