cd_conta_padrao,ds_conta_padrao,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,102055.253,240333.926,407277.77300000004,206231.356,137652.807,242626.047,461036.831,217730.033,246211.465,337214.98,665230.407,337423.746,469390.205,392875.888,644045.25,391627.596,559909.247,457310.64,778127.2260000003,444590.467,656322.035,562899.81,913301.1049999997,537080.71,761021.118,664502.87
3.02,Custo dos Bens e/ou Serviços Vendidos,-27540.999,-77271.31,-111056.80099999999,-69156.398,-44733.649,-73339.45300000001,-142834.251,-75037.20300000001,0.0,-108788.395,-291083.485,-109272.493,-152282.115,-124054.128,-187918.78399999999,-119042.079,-169811.214,-148268.79,-233741.924,-141600.929,-204560.887,-186189.841,-234735.82900000003,-172401.749,-209813.623,-190274.273
3.03,Resultado Bruto,74514.254,163062.616,296220.97200000007,137074.958,92919.158,169286.594,318202.58,142692.83000000002,246211.465,228426.585,374146.922,228151.253,317108.09,268821.76,456126.4659999999,272585.517,390098.033,309041.85000000003,544385.3019999999,302989.538,451761.148,376709.969,678565.2760000001,364678.961,551207.495,474228.597
3.04,Despesas/Receitas Operacionais,58502.226,-110727.197,-188650.33200000002,-109109.531,-94691.088,-121352.411,-187251.62399999995,-133638.16700000002,-158961.952,-162342.248,-241848.98400000005,-183649.86,-228622.837,-205674.424,-275888.12,-224351.48,-263862.349,-221823.258,-355427.5049999999,-261643.34,-227861.527,-270461.482,-366474.277,-274257.341,-361588.833,-270388.086
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,133016.48,52335.419,107570.63999999998,27965.427,-1771.93,47934.183000000005,130950.95599999999,9054.663,87249.513,66084.337,132297.938,44501.393,88485.253,63147.336,180238.34599999996,48234.037,126235.684,87218.592,188957.797,41346.198,223899.621,106248.487,312090.99900000007,90421.62,189618.662,203840.511
3.06,Resultado Financeiro,43771.389,-13034.318,-6416.876000000004,-13715.435,-6514.905,-12390.433,-8921.125999999997,-8684.328,-5819.6990000000005,-5154.309,-11851.134000000002,-9786.251,-10459.368,-12811.615,-12280.494000000006,-13615.303,-9635.386,-9299.097,-17253.720999999998,-15499.737,3494.832,-14894.248,-30448.011,-19812.692,-33408.336,-28586.589
3.07,Resultado Antes dos Tributos sobre o Lucro,176787.869,39301.101,101153.764,14249.992,-8286.835000000001,35543.75,122029.82999999999,370.335,81429.814,60930.028,120446.80400000003,34715.142,78025.885,50335.721,167957.85200000004,34618.734000000004,116600.298,77919.495,171704.076,25846.461,227394.453,91354.239,281642.988,70608.928,156210.326,175253.922
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-51034.78,269.034,-8505.652000000002,4761.09,6619.039,602.95,-28847.707000000002,3542.321,-238.574,25327.711,6681.832000000002,11206.518,11026.148,17791.673,-10204.521999999994,3952.435,-6615.992,-1380.645,-27553.847999999998,9962.724,-16432.957000000002,15811.047,17814.991,44429.138,-4121.207,595.533
3.09,Resultado Líquido das Operações Continuadas,125753.089,39570.135,92648.112,19011.082,-1667.796,36146.7,93182.12299999999,3912.656,81191.24,86257.739,127128.636,45921.66,89052.033,68127.394,157753.33000000002,38571.169,109984.306,76538.85,144150.228,35809.185,210961.496,107165.286,299457.979,115038.066,152089.119,175849.45500000002
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,125753.089,39570.135,92648.112,19011.082,-1667.796,36146.7,93182.12299999999,3912.656,81191.24,86257.739,127128.636,45921.66,89052.033,68127.394,157753.33000000002,38571.169,109984.306,76538.85,144150.228,35809.185,210961.496,107165.286,299457.979,115038.066,152089.119,175849.45500000002
3.99,Lucro por Ação - (Reais / Ação),0.0,0.0001307899999999,0.00115021,8.049000000000001e-05,-7.06e-06,0.00015304,0.00062097,1.6570000000000002e-05,0.00034374,0.00036519,0.00126373,0.00019442,0.00037724,0.0002887,0.00152952,0.00016376,0.00046716,0.00032411,0.0015689,0.00015224,0.00089712,0.00045607,0.00277937,0.00048939,0.0006427,0.00074796
