especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,432137739,432872285,433318535,435559201,378066162,378066162,28040162,44757914,44757914,120000000,300676101,337445727,60416860,89442291,115936297,ON
TOTAL,432137739,432872285,433318535,435559201,378066162,378066162,28040162,44757914,44757914,120000000,300676101,337445727,60416860,89442291,115936297,TOTAL
