cd_conta,ds_conta,2015T2,2015T3,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,1176.0,3286.0,3098.0,6257.0,6021.0,3284.0,4223.0,5875.0,9949.0,8468.0,12287.0,14566.0,19050.0,13658.0,19036.0,23113.0,14636.0,17306.0,18816.0,15530.0,10148.0,12253.0,9921.0,5156.0,3159.0,1618.0,971.0,375.0,303.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,-2823.0,-2497.0,-4804.0,-4544.0,-2436.0,-3333.0,-4683.0,-7827.0,-7035.0,-10179.0,-12161.0,-16999.0,-12200.0,-16373.0,-21111.0,-12761.0,-14822.0,-16620.0,-13359.0,-9138.0,-11297.0,-8509.0,-4766.0,-2848.0,-2040.0,-678.0,-359.0,-266.0
3.03,Resultado Bruto,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,198.0,463.0,601.0,1453.0,1477.0,848.0,890.0,1192.0,2122.0,1433.0,2108.0,2405.0,2051.0,1458.0,2663.0,2002.0,1875.0,2484.0,2196.0,2171.0,1010.0,956.0,1412.0,390.0,311.0,-422.0,293.0,16.0,37.0
3.04,Despesas/Receitas Operacionais,-1163.0,-1346.0,-1092.0,-942.0,-3847.0,-582.0,-4135.0,-2208.0,-18873.0,-1130.0,-2274.0,-920.0,-462.0,-1992.0,-1034.0,-1174.0,-944.0,-987.0,-1118.0,-1186.0,-1274.0,-1397.0,-1680.0,-1780.0,-2210.0,-1520.0,-1510.0,-2261.0,-2239.0,-4095.0,-2423.0,-2041.0,-2008.0,-2158.0,-3147.0,-1747.0,-6419.0,-5239.0,-2578.0,-3193.0,-3922.0
3.04.02,Despesas Gerais e Administrativas,-233.0,-298.0,-163.0,-169.0,-380.0,-148.0,-351.0,-235.0,-555.0,-128.0,-175.0,-177.0,-364.0,-816.0,-1002.0,-802.0,-811.0,-716.0,-924.0,-779.0,-952.0,-1070.0,-1162.0,-1092.0,-1253.0,-1163.0,-1204.0,-1465.0,-1327.0,-1401.0,-1593.0,-1612.0,-1291.0,-1216.0,-1100.0,-860.0,-2270.0,-873.0,-563.0,-1060.0,-450.0
3.04.05,Outras Despesas Operacionais,-935.0,-1058.0,-945.0,-772.0,-3602.0,-554.0,-3796.0,-1973.0,-18659.0,-1556.0,-2099.0,-743.0,-98.0,-2152.0,-41.0,-242.0,-29.0,-158.0,-10.0,-27.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-270.0,-33203.0,-8.0,-35.0,-20.0,-9.0,-1260.0,-1219.0,-3864.0,-6036.0,0.0,-2640.0,-18421.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-497.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-1165.0,-1346.0,-1092.0,-942.0,-3847.0,-582.0,-4135.0,-2208.0,-18864.0,-1104.0,-2274.0,-920.0,-264.0,-1529.0,-433.0,279.0,533.0,-139.0,-228.0,6.0,848.0,36.0,428.0,625.0,-159.0,-62.0,1153.0,-259.0,-364.0,6579.0,-227.0,130.0,-998.0,-1202.0,-1735.0,-1357.0,-6108.0,-5661.0,-2285.0,-3177.0,-3885.0
3.06,Resultado Financeiro,-2857.0,-3022.0,-2901.0,-3174.0,-15721.0,-1564.0,-2052.0,-1452.0,-1689.0,-7791.0,-1883.0,-2549.0,-2893.0,-740.0,-1017.0,-878.0,-988.0,-820.0,-1032.0,-534.0,-348.0,-117.0,-323.0,-428.0,-706.0,-1010.0,-1000.0,-926.0,-553.0,-17254.0,-50.0,-875.0,-1041.0,-911.0,-630.0,-950.0,-1174.0,-2104.0,-711.0,-1416.0,-1094.0
3.06.01,Receitas Financeiras,0.0,0.0,80.0,0.0,567.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,1.0,28.0,0.0,1.0,2.0,14.0,14.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
3.06.02,Despesas Financeiras,-2857.0,-3022.0,-2981.0,-3174.0,-16288.0,-1564.0,-2052.0,-1452.0,-1689.0,-8161.0,-1883.0,-2549.0,-2893.0,-741.0,-1045.0,-878.0,-989.0,-822.0,-1046.0,-548.0,-354.0,-115.0,-324.0,-428.0,-706.0,-1010.0,-1001.0,-931.0,-553.0,-17251.0,-50.0,-878.0,-1042.0,-913.0,-631.0,-951.0,-1174.0,-2102.0,-711.0,-1416.0,-1094.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-4022.0,-4368.0,-3993.0,-4116.0,-19568.0,-2146.0,-6187.0,-3660.0,-20553.0,-8895.0,-4157.0,-3469.0,-3157.0,-2269.0,-1450.0,-599.0,-455.0,-959.0,-1260.0,-528.0,500.0,-81.0,105.0,197.0,-865.0,-1072.0,153.0,-1185.0,-917.0,-10675.0,-277.0,-745.0,-2039.0,-2113.0,-2365.0,-2307.0,-7282.0,-7765.0,-2996.0,-4593.0,-4979.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Resultado Líquido das Operações Continuadas,4022.0,4368.0,3993.0,4116.0,19568.0,2146.0,6187.0,3660.0,20553.0,6511.0,4157.0,3469.0,3157.0,2269.0,1450.0,599.0,455.0,959.0,1260.0,528.0,500.0,-919.0,105.0,197.0,865.0,468.0,106.0,1185.0,945.0,10463.0,277.0,745.0,2039.0,2113.0,2365.0,2307.0,7282.0,7765.0,2996.0,4593.0,4979.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,4022.0,4368.0,3993.0,4116.0,19568.0,2146.0,6187.0,3660.0,20553.0,6511.0,4157.0,3469.0,3157.0,2269.0,1450.0,599.0,455.0,959.0,1260.0,528.0,500.0,-919.0,105.0,197.0,865.0,468.0,106.0,1185.0,945.0,10463.0,277.0,745.0,2039.0,2113.0,2365.0,2307.0,7282.0,7765.0,2996.0,4593.0,4979.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-4019.0,-4364.0,-3990.0,-4110.0,-19559.0,-2147.0,-6181.0,-3657.0,-20550.0,-6512.0,-4156.0,-3468.0,-3154.0,-2269.0,-1449.0,-598.0,-452.0,-959.0,-1255.0,-527.0,500.0,-84.0,105.0,197.0,0.0,-1937.0,106.0,0.0,0.0,-12950.0,-266.0,0.0,0.0,-4911.0,-2355.0,0.0,-5783.0,-10230.0,0.0,0.0,0.0
3.11.02,Atribuído a Sócios Não Controladores,-3.0,-4.0,-3.0,-6.0,-9.0,1.0,-6.0,-3.0,-3.0,1.0,-1.0,-1.0,-3.0,0.0,-1.0,-1.0,-3.0,0.0,-5.0,-1.0,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,-2.0,13.0,-156.0,-11.0,-15.0,-16.0,39.0,-10.0,-2.0,-1499.0,160.0,0.0,-6.0,-5.0
3.99,Lucro por Ação (Reais/Ação),-0.01724,-1.4045,0.10477707,-1.32349,-0.51347,1.05439,-0.16234,-1.17691,-0.53932,-5.38555,-0.81818,-0.6827,-0.6213,-0.44647,-0.28556,0.01117831,0.00849104,0.33123,0.02351364,0.00985334,0.00659,-0.02509,0.00138,0.00367634,-0.0114,-0.01154,0.02517,-0.03099,-0.02495,-0.30903,-0.0073,0.00585,0.05378248,-0.0392,-0.01858,-0.0725,-0.229,-0.29952,-0.07853,-0.1443,-0.15647
