cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,6173.000,79463.000,29544.000,78624.000,42464.000,51279.000,86696.000,179068.000,90432.000,260263.000,149328.000,109247.000,99562.000,179703.000,128813.000,147249.000,159165.000,283528.000,204980.000,255660.000,285212.000,295145.000,393523.000,575419.000,334630.000,481894.000,414753.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-4187.000,-49744.000,-20354.000,-50207.000,-25515.000,-29691.000,-47301.000,-107209.000,-53886.000,-150644.000,-84741.000,-66279.000,-65555.000,-126578.000,-80331.000,-96524.000,-109940.000,-190197.000,-136082.000,-167758.000,-183648.000,-206081.000,-265740.000,-370741.000,-209067.000,-317337.000,-268197.000
3.03,Resultado Bruto,1986.000,29719.000,9190.000,28417.000,16949.000,21588.000,39395.000,71859.000,36546.000,109619.000,64587.000,42968.000,34007.000,53125.000,48482.000,50725.000,49225.000,93331.000,68898.000,87902.000,101564.000,89064.000,127783.000,204678.000,125563.000,164557.000,146556.000
3.04,Despesas/Receitas Operacionais,-4705.000,-5694.000,-2428.000,-3663.000,-4734.000,-3289.000,-9838.000,-13094.000,-16691.000,-19308.000,-21076.000,-20082.000,-20943.000,-28256.000,-23436.000,-27182.000,-21294.000,-27343.000,-26695.000,-3896.000,-31256.000,-17980.000,-35308.000,-41582.000,-32077.000,-29285.000,-31602.000
3.04.02,Despesas Gerais e Administrativas,-1420.000,-998.000,-2782.000,-2832.000,-2029.000,-2414.000,-4267.000,-5367.000,-5784.000,-6673.000,-6459.000,-6399.000,-7539.000,-8477.000,-8378.000,-8150.000,-10135.000,-11632.000,-10690.000,-12452.000,-16683.000,-14785.000,-17187.000,-24829.000,-21715.000,-22151.000,-20528.000
3.04.05,Outras Despesas Operacionais,119.000,-456.000,-620.000,-289.000,750.000,325.000,-855.000,-319.000,658.000,142.000,-28.000,-95.000,-3666.000,630.000,-535.000,1569.000,-619.000,-987.000,-1343.000,-932.000,-1557.000,285.000,-1181.000,-1801.000,-1480.000,-1782.000,-2776.000
3.04.06,Resultado de Equivalência Patrimonial,83.000,106.000,6248.000,1458.000,2.000,560.000,141.000,616.000,1381.000,946.000,1428.000,399.000,657.000,301.000,1477.000,-3754.000,6505.000,4481.000,2464.000,22255.000,8574.000,20264.000,14787.000,23177.000,19401.000,22204.000,27212.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-2719.000,24025.000,6762.000,24754.000,12215.000,18299.000,29557.000,58765.000,19855.000,90311.000,43511.000,22886.000,13064.000,24869.000,25046.000,23543.000,27931.000,65988.000,42203.000,84006.000,70308.000,71084.000,92475.000,163096.000,93486.000,135272.000,114954.000
3.06,Resultado Financeiro,388.000,249.000,216.000,54.000,163.000,363.000,366.000,6538.000,6846.000,12462.000,14162.000,11095.000,17905.000,17399.000,14338.000,18062.000,7280.000,15976.000,16201.000,15170.000,9086.000,8723.000,10641.000,9417.000,9292.000,9177.000,16821.000
3.06.01,Receitas Financeiras,495.000,425.000,516.000,514.000,711.000,388.000,1089.000,7904.000,7604.000,13139.000,14778.000,12121.000,19772.000,18072.000,15261.000,17936.000,11658.000,17649.000,17363.000,16271.000,12163.000,16135.000,18198.000,18963.000,26437.000,31918.000,37549.000
3.06.02,Despesas Financeiras,-107.000,-176.000,-300.000,-460.000,-548.000,-25.000,-723.000,-1366.000,-758.000,-677.000,-616.000,-1026.000,-1867.000,-673.000,-923.000,126.000,-4378.000,-1673.000,-1162.000,-1101.000,-3077.000,-7412.000,-7557.000,-9546.000,-17145.000,-22741.000,-20728.000
3.07,Resultado Antes dos Tributos sobre o Lucro,-2331.000,24274.000,6978.000,24808.000,12378.000,18662.000,29923.000,65303.000,26701.000,102773.000,57673.000,33981.000,30969.000,42268.000,39384.000,41605.000,35211.000,81964.000,58404.000,99176.000,79394.000,79807.000,103116.000,172513.000,102778.000,144449.000,131775.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-263.000,-1435.000,-779.000,-1543.000,-1165.000,-1041.000,-1996.000,-3232.000,-2376.000,-6457.000,-4395.000,-3599.000,-4750.000,-6594.000,-5190.000,-6784.000,-5129.000,-8829.000,-6916.000,-7262.000,-7281.000,-8987.000,-11234.000,-14872.000,-6424.000,-15906.000,-15776.000
3.09,Resultado Líquido das Operações Continuadas,-2594.000,22839.000,6199.000,23265.000,11213.000,17621.000,27927.000,62071.000,24325.000,96316.000,53278.000,30382.000,26219.000,35674.000,34194.000,34821.000,30082.000,73135.000,51488.000,91914.000,72113.000,70820.000,91882.000,157641.000,96354.000,128543.000,115999.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,-2594.000,22839.000,6199.000,23265.000,11213.000,17621.000,27927.000,62071.000,24325.000,96316.000,53278.000,30382.000,26219.000,35674.000,34194.000,34821.000,30082.000,73135.000,51488.000,91914.000,72113.000,70820.000,91882.000,157641.000,96354.000,128543.000,115999.000
3.11.01,Atribuído a Sócios da Empresa Controladora,-2466.000,21272.000,6338.000,19092.000,9000.000,13456.000,17640.000,53428.000,17054.000,90541.000,45634.000,24503.000,21080.000,33721.000,27619.000,32469.000,25609.000,69133.000,48565.000,88142.000,70004.000,65977.000,86583.000,119950.000,86883.000,118591.000,103959.000
3.11.02,Atribuído a Sócios Não Controladores,-128.000,1567.000,-139.000,4173.000,2213.000,4165.000,10287.000,8643.000,7271.000,5775.000,7644.000,5879.000,5139.000,1953.000,6575.000,2352.000,4473.000,4002.000,2923.000,3772.000,2109.000,4843.000,5299.000,37691.000,9471.000,9952.000,12040.000
3.99,Lucro por Ação (Reais/Ação),-0.023,0.201,0.066,0.174,0.085,0.127,0.149,0.295,0.079,0.422,0.256,0.336,0.101,0.167,0.138,0.172,0.131,0.354,0.248,0.451,0.358,0.338,0.443,0.614,0.445,0.607,0.594
