especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,81888294,81888294,81888294,102360368,102360368,102360368,116515527,116515527,116515527,116515527,116515527,116515527,116515527,116515527,116515527,ON
PN,161897158,161897158,161897158,202371448,202371448,202371448,229260282,229260282,229260282,229260282,229260282,229260282,212815006,212815006,212815006,PN
TOTAL,243785452,243785452,243785452,304731816,304731816,304731816,345775809,345775809,345775809,345775809,345775809,345775809,329330533,329330533,329330533,TOTAL
