codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,10.435,7.6,5.9707,12.6085,8.7059,8.0071,7.6639,4.656,4.7064
P_VPA,P/VPA,Valuation,x,,,,2.6148,1.7526,1.0151,0.7799,0.6434,0.6504
EV_EBITDA,EV/EBITDA,Valuation,x,,,,8.1613,6.3117,6.7586,5.3024,4.2535,4.2933
EV_EBIT,EV/EBIT,Valuation,x,,,,8.1613,6.3117,6.7586,5.3024,4.2535,4.2933
EV_RECEITA,EV/Receita,Valuation,x,,,,2.7273,2.0286,1.6221,0.9938,0.9817,0.9909
DY,Dividend Yield,Valuation,%,,,,0.8589,3.9471,3.0866,3.2144,3.4384,3.4016
PAYOUT,Payout,Valuation,%,,,,11.3377,34.8844,25.2596,25.2506,16.3241,16.3241
ROE,ROE,Rentabilidade,%,55.1877,81.8819,104.4264,34.8949,20.881,12.9808,10.3005,14.3192,14.3192
ROA,ROA,Rentabilidade,%,20.7443,30.0523,25.293,17.9891,14.9362,8.9145,6.6053,9.2215,9.2215
ROIC,ROIC,Rentabilidade,%,39.9355,51.5994,36.8471,27.7358,20.0838,9.8992,9.7894,10.4883,10.4883
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,25.9559,30.8415,32.9269,33.4179,32.1407,24.0008,18.7415,23.0789,23.0789
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,15.7579,20.4847,21.5205,23.7019,25.623,18.0304,12.171,17.8863,17.8863
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.5526,0.3976,1.2224,-1.2008,-0.7341,0.6108,0.201,0.5741,0.5741
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.5023,0.451,2.149,-0.3354,-0.1826,0.1009,0.0307,0.1004,0.1004
ICJ,ICJ,Endividamento,x,4.1008,9.6664,8.9099,14.7293,5.5348,6.446,3.924,3.7264,3.7264
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,14.4018,26.827,9.174,25.0087,26.8006,12.3276,13.1247,42.3571,42.3571
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4763,1.9086,2.2002,4.9459,4.5212,4.6256,3.1159,2.8976,2.8976
LIQ_SECA,Liquidez Seca,Liquidez,x,1.6397,1.1943,1.3001,3.7306,2.9879,2.7542,1.989,1.8522,1.8522
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2122,1.1064,0.8046,2.5053,2.5066,1.846,1.6484,1.6158,1.6158
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.3164,1.3237,0.9286,0.5869,0.563,0.4495,0.5142,0.4885,0.4885
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,122.9586,119.1554,187.2875,241.8113,305.0989,302.031,203.0374,256.6324,256.6324
PME,PME,Eficiência,dias,117.7244,123.3497,188.3837,214.2342,277.185,256.4797,199.1811,241.871,241.871
NCG_RECEITA,NCG/Receita,Eficiência,%,22.4563,15.79,24.1681,38.3713,53.0697,64.5218,40.9661,68.382,68.382
