especie,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,148000000,148000000,148000000,179393939,179393939,179393939,179393939,ON
TOTAL,148000000,148000000,148000000,179393939,179393939,179393939,179393939,TOTAL
