cd_conta,conta,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,366081.000,391259.000,587343.000,638616.000,594155.000,631526.000,718195.000,746331.000,738444.000,800081.000,1206541.000,1259259.000,1272625.000,1428402.000,2314718.000,2372649.000,2328047.000,2297176.000,2383926.000,2440588.000,2499048.000,2505597.000,2499083.000,3074044.000,3053528.000,3160960.000,3098088.000,3241494.000,3411729.000,3431925.000,3470558.000,3621064.000
1.01,Ativo Circulante,246332.000,268878.000,447285.000,481817.000,429686.000,445348.000,531019.000,545998.000,501158.000,535873.000,792826.000,815011.000,800495.000,911683.000,1767160.000,1765421.000,1696474.000,1640754.000,1694704.000,1713234.000,1677861.000,1632956.000,1421667.000,1626550.000,1553869.000,1623555.000,1498275.000,1585906.000,1676152.000,1647217.000,1625863.000,1969159.000
1.01.01,Caixa e Equivalentes de Caixa,9163.000,24514.000,68897.000,8011.000,11079.000,22346.000,3385.000,4078.000,6417.000,6152.000,7802.000,9663.000,70197.000,5866.000,125134.000,114056.000,51864.000,206099.000,14788.000,9179.000,14114.000,23774.000,97498.000,30345.000,31495.000,26490.000,20423.000,20708.000,33317.000,46501.000,58797.000,43203.000
1.01.02,Aplicações Financeiras,4012.000,0.000,110000.000,135820.000,101865.000,91837.000,67450.000,149166.000,152647.000,123967.000,279871.000,232563.000,144152.000,230160.000,874258.000,890865.000,870958.000,613210.000,784160.000,754354.000,629533.000,597607.000,294245.000,441595.000,375819.000,421425.000,355953.000,411240.000,459555.000,395598.000,239125.000,267574.000
1.01.03,Contas a Receber,104111.000,117109.000,133382.000,140038.000,162774.000,154678.000,252099.000,194521.000,140816.000,191668.000,267240.000,273142.000,247552.000,293644.000,326439.000,288772.000,331792.000,371036.000,376287.000,383890.000,420609.000,346483.000,392308.000,434143.000,453559.000,458532.000,521801.000,504283.000,476750.000,446530.000,535700.000,521763.000
1.01.04,Estoques,119080.000,119113.000,126421.000,189584.000,145163.000,167705.000,175242.000,177108.000,187572.000,205053.000,220165.000,285996.000,327494.000,360540.000,427601.000,437684.000,416848.000,428292.000,497034.000,537469.000,569023.000,607099.000,580648.000,648049.000,628646.000,634957.000,523534.000,552085.000,606189.000,690362.000,678158.000,710398.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,6955.000,4447.000,4735.000,4793.000,5547.000,3255.000,27732.000,17277.000,7930.000,4136.000,5023.000,4983.000,4260.000,2374.000,2557.000,5861.000,5628.000,14116.000,14425.000,19630.000,25808.000,28960.000,35896.000,45752.000,45062.000,60288.000,53185.000,55385.000,42496.000,45058.000,57977.000,69429.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,3011.000,3695.000,3850.000,3571.000,3258.000,5527.000,5111.000,3848.000,5776.000,4897.000,12725.000,8664.000,6840.000,19099.000,11171.000,28183.000,19384.000,8001.000,8010.000,8712.000,18774.000,29033.000,21072.000,26666.000,19288.000,21863.000,23379.000,42205.000,57845.000,23168.000,56106.000,356792.000
1.02,Ativo Não Circulante,119749.000,122381.000,140058.000,156799.000,164469.000,186178.000,187176.000,200333.000,237286.000,264208.000,413715.000,444248.000,472130.000,516719.000,547558.000,607228.000,631573.000,656422.000,689222.000,727354.000,821187.000,872641.000,1077416.000,1447494.000,1499659.000,1537405.000,1599813.000,1655588.000,1735577.000,1784708.000,1844695.000,1651905.000
1.02.01,Ativo Realizável a Longo Prazo,10783.000,12607.000,14037.000,16696.000,19822.000,35091.000,19710.000,20909.000,21835.000,24892.000,24009.000,22058.000,45330.000,43655.000,41817.000,46857.000,40082.000,36804.000,33583.000,30185.000,29448.000,30684.000,144928.000,397848.000,399686.000,401325.000,406035.000,408204.000,402636.000,401647.000,378526.000,109188.000
1.02.02,Investimentos,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,43.000,43.000,43.000,0.000,0.000,0.000,2410.000,0.000,35.000,35.000,35.000,0.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,99655.000,100944.000,117331.000,131434.000,135706.000,141833.000,156787.000,167923.000,194035.000,215972.000,222514.000,252428.000,257315.000,298429.000,328674.000,371962.000,392635.000,415875.000,443142.000,468877.000,557683.000,587237.000,639646.000,722336.000,745875.000,765308.000,780197.000,800350.000,845195.000,881960.000,932323.000,951271.000
1.02.04,Intangível,9296.000,8815.000,8675.000,8654.000,8926.000,9239.000,10664.000,11486.000,21387.000,23315.000,167163.000,169733.000,169456.000,174606.000,177038.000,188380.000,198813.000,203700.000,212454.000,228292.000,234056.000,254720.000,290432.000,327310.000,354063.000,370737.000,413546.000,447034.000,487746.000,501101.000,533846.000,591446.000
