especie,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,5591246138,5591246138,5485338838,5485338838,5485338835,ON
TOTAL,5591246138,5591246138,5485338838,5485338838,5485338835,TOTAL
