cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1821465.0,2877230.0,4238828.0,4852008.0,5638570.0,7693327.0,3057586.0,2650387.0,3891712.0,2679299.0,2723538.0,3978015.0,4514331.0,4014012.0,4839552.0,5512531.0,3510759.0,4189057.0,3966837.0,4829664.0,3911382.0,4038202.0,5146073.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-807179.0,-1350311.0,-1304770.0,-2018348.0,-1907070.0,-2427623.0,-1998327.0,-1675246.0,-1603727.0,-1835235.0,-1777669.0,-1866636.0,-2227464.0,-2622510.0,-2523535.0,-2465548.0,-1890164.0,-1946282.0,-2063350.0,-2125231.0,-2237701.0,-2377875.0,-2645484.0
3.03,Resultado Bruto,1014286.0,1526919.0,2934058.0,2833660.0,3731500.0,5265704.0,1059259.0,975141.0,2287985.0,844064.0,945869.0,2111379.0,2286867.0,1391502.0,2316017.0,3046983.0,1620595.0,2242775.0,1903487.0,2704433.0,1673681.0,1660327.0,2500589.0
3.04,Despesas/Receitas Operacionais,-441119.0,-326738.0,-626665.0,-612013.0,-322622.0,-792281.0,-31869.0,-415334.0,-218289.0,-180460.0,-261914.0,-776063.0,-1138328.0,-306493.0,-544886.0,-1015287.0,-785945.0,-521097.0,-1063027.0,-1133913.0,-550002.0,-728150.0,-877146.0
3.04.02,Despesas Gerais e Administrativas,-40031.0,-38269.0,-37878.0,-43118.0,-30738.0,-32237.0,-37572.0,-29617.0,-29376.0,-25002.0,-30935.0,-32133.0,-39190.0,-40685.0,-37938.0,-43376.0,-41529.0,-50839.0,-45057.0,-44627.0,-45176.0,-51624.0,-42005.0
3.04.05,Outras Despesas Operacionais,-197540.0,-76085.0,-214567.0,-220500.0,-119065.0,-333762.0,-249045.0,-400165.0,-120097.0,-57926.0,-34425.0,-199083.0,-634578.0,-188155.0,-9340.0,-242366.0,-54784.0,-128593.0,-54627.0,-177600.0,-71216.0,-141777.0,-113252.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-20434.0,19992.0,18440.0,30536.0,6742.0,26613.0,52153.0,6547.0,11042.0,26596.0,46683.0,32241.0,14221.0,46017.0,54529.0,37427.0,40134.0,46180.0,50289.0,45375.0,37042.0,73730.0,60402.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,573167.0,1200181.0,2307393.0,2221647.0,3408878.0,4473423.0,1027390.0,559807.0,2069696.0,663604.0,683955.0,1335316.0,1148539.0,1085009.0,1771131.0,2031696.0,834650.0,1721678.0,840460.0,1570520.0,1123679.0,932177.0,1623443.0
3.06,Resultado Financeiro,33978.0,-87227.0,-95765.0,-363377.0,76060.0,-638802.0,138278.0,159610.0,-965014.0,568316.0,63058.0,-438529.0,-381152.0,-506313.0,2756.0,-345108.0,-44090.0,436411.0,-425230.0,814726.0,-1315364.0,-750058.0,-566627.0
3.06.01,Receitas Financeiras,10237.0,7392.0,5317.0,5274.0,9535.0,23864.0,58148.0,58001.0,77227.0,54967.0,109316.0,102737.0,127864.0,124169.0,119653.0,164795.0,132704.0,172528.0,166407.0,248139.0,302859.0,96559.0,203327.0
3.06.02,Despesas Financeiras,-23741.0,-94619.0,-101082.0,-321169.0,-66525.0,-662666.0,-80130.0,-394919.0,-1042241.0,-513349.0,-46258.0,-485432.0,-509016.0,-630482.0,-116897.0,-509903.0,-176794.0,-263883.0,-591637.0,-970275.0,-1618223.0,-846617.0,-769954.0
3.07,Resultado Antes dos Tributos sobre o Lucro,607145.0,1112954.0,2211628.0,1858270.0,3484938.0,3834621.0,1165668.0,719417.0,1104682.0,1231920.0,747013.0,896787.0,767387.0,578696.0,1773887.0,1686588.0,790560.0,2158089.0,415230.0,2385246.0,-191685.0,182119.0,1056816.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-205904.0,-292953.0,-744148.0,-516282.0,-1122276.0,-1333984.0,-361603.0,-15815.0,-365541.0,-406199.0,-232956.0,-25408.0,-251589.0,-84515.0,-573961.0,-327756.0,-232622.0,-650647.0,-31077.0,-307061.0,-165603.0,-66352.0,-360548.0
3.09,Resultado Líquido das Operações Continuadas,401241.0,820001.0,1467480.0,1341988.0,2362662.0,2500637.0,804065.0,1507667.0,739141.0,825721.0,514057.0,871379.0,515798.0,494181.0,1199926.0,1358832.0,557938.0,1507442.0,446307.0,2016031.0,357288.0,115767.0,696268.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,401241.0,820001.0,1467480.0,1341988.0,2362662.0,2500637.0,804065.0,703602.0,739141.0,825721.0,514057.0,871379.0,515798.0,494181.0,1199926.0,1358832.0,557938.0,1507442.0,446307.0,2016031.0,357288.0,115767.0,696268.0
3.11.01,Atribuído a Sócios da Empresa Controladora,401241.0,820001.0,1467480.0,1341988.0,2362662.0,2500637.0,804065.0,703602.0,0.0,825721.0,514057.0,-1339778.0,0.0,494181.0,1199926.0,-1694107.0,0.0,1507442.0,446307.0,-1953749.0,-357260.0,115858.0,696466.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-91.0,-198.0
3.99,Lucro por Ação (Reais/Ação),2.21678,4.53034,8.10754,7.41422,0.42666,0.4516,0.14435685,0.12423301,0.13305,0.15052731,0.0379,0.21636269,0.09403211,0.09009,0.21875,0.24769789,0.10171,0.27481,0.08216,0.36897,-0.06531,0.02121,0.12693254
