cd_conta,ds_conta,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,20049000.0,19475000.0,21839000.0,23204000.0,22499000.0,23597000.0,26455000.0,25219000.0,22432000.0,24045000.0,24360000.0,24148000.0,21188000.0,14882000.0,21137000.0,24294000.0,26133000.0,29023000.0,35694000.0,39271000.0,38381000.0,47154000.0,50834000.0,45077000.0,39037000.0,37184000.0,43063000.0,43663000.0,39599000.0,42109000.0,46271000.0,44293000.0,44859000.0,45545000.0,48345000.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-18568000.0,-18199000.0,-20035000.0,-21398000.0,-20982000.0,-22281000.0,-24936000.0,-23715000.0,-20842000.0,-22756000.0,-22966000.0,-22463000.0,-20242000.0,-14286000.0,-19751000.0,-22765000.0,-24260000.0,-27750000.0,-34161000.0,-37099000.0,-36168000.0,-44495000.0,-49782000.0,-43512000.0,-37679000.0,-35648000.0,-40001000.0,-41258000.0,-37488000.0,-40097000.0,-44114000.0,-42332000.0,-42519000.0,-43655000.0,-45983000.0
3.03,Resultado Bruto,1481000.0,1276000.0,1804000.0,1806000.0,1517000.0,1316000.0,1519000.0,1504000.0,1590000.0,1289000.0,1394000.0,1685000.0,946000.0,596000.0,1386000.0,1529000.0,1873000.0,1273000.0,1533000.0,2172000.0,2213000.0,2659000.0,1052000.0,1565000.0,1358000.0,1536000.0,3062000.0,2405000.0,2111000.0,2012000.0,2157000.0,1961000.0,2340000.0,1890000.0,2362000.0
3.04,Despesas/Receitas Operacionais,-1057000.0,-1047000.0,-971000.0,-1170000.0,-1061000.0,-1142000.0,-98000.0,-1169000.0,-1056000.0,-1013000.0,-919000.0,-1617000.0,-446000.0,-341000.0,-862000.0,1758000.0,-996000.0,-598000.0,-1034000.0,-1617000.0,-1222000.0,-980000.0,-788000.0,-538000.0,-931000.0,-1012000.0,-979000.0,2104000.0,-553000.0,-791000.0,3507000.0,-1635000.0,-806000.0,-867000.0,-1113000.0
3.04.02,Despesas Gerais e Administrativas,-205000.0,-204000.0,-209000.0,-217000.0,-190000.0,-198000.0,-194000.0,-204000.0,-195000.0,-190000.0,-200000.0,-283000.0,-145000.0,-138000.0,-152000.0,-22000.0,-149000.0,-168000.0,-187000.0,-130000.0,-160000.0,-183000.0,-197000.0,-203000.0,-205000.0,-170000.0,-197000.0,-232000.0,-224000.0,-238000.0,-262000.0,-275000.0,-359000.0,-370000.0,-345000.0
3.04.05,Outras Despesas Operacionais,-147000.0,-82000.0,-16000.0,-211000.0,-162000.0,-184000.0,873000.0,-283000.0,-129000.0,-101000.0,14000.0,-506000.0,323000.0,383000.0,-178000.0,2321000.0,-125000.0,143000.0,-244000.0,-834000.0,-499000.0,-183000.0,131000.0,408000.0,-52000.0,-119000.0,-4000.0,2970000.0,408000.0,12000.0,4465000.0,-761000.0,280000.0,247000.0,-24000.0
3.04.05.02,Depreciação e amortização,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.06,Resultado de Equivalência Patrimonial,-2000.0,0.0,1000.0,-1000.0,-1000.0,0.0,-1000.0,1000.0,1000.0,0.0,0.0,1000.0,-1000.0,-1000.0,-1000.0,12000.0,7000.0,2000.0,76000.0,27000.0,17000.0,14000.0,16000.0,-51000.0,-2000.0,-26000.0,-49000.0,41000.0,-71000.0,79000.0,-30000.0,122000.0,29000.0,-10000.0,44000.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,424000.0,229000.0,833000.0,636000.0,456000.0,174000.0,1421000.0,335000.0,534000.0,276000.0,475000.0,68000.0,500000.0,255000.0,524000.0,3287000.0,877000.0,675000.0,499000.0,555000.0,991000.0,1679000.0,264000.0,1027000.0,427000.0,524000.0,2083000.0,4509000.0,1558000.0,1221000.0,5664000.0,326000.0,1534000.0,1023000.0,1249000.0
3.06,Resultado Financeiro,-148000.0,-88000.0,-232000.0,-89000.0,-46000.0,269000.0,353000.0,1847000.0,227000.0,212000.0,1579000.0,-68000.0,-96000.0,77000.0,22000.0,261000.0,-118000.0,-73000.0,-48000.0,807000.0,-449000.0,-614000.0,-564000.0,-404000.0,-280000.0,-341000.0,-413000.0,-50000.0,-334000.0,-213000.0,131000.0,185000.0,-671000.0,-552000.0,-647000.0
3.06.01,Receitas Financeiras,140000.0,132000.0,69000.0,35000.0,84000.0,364000.0,554000.0,1957000.0,352000.0,421000.0,1705000.0,50000.0,77000.0,95000.0,120000.0,158000.0,116000.0,105000.0,214000.0,1208000.0,177000.0,236000.0,150000.0,134000.0,234000.0,211000.0,244000.0,249000.0,189000.0,304000.0,454000.0,830000.0,313000.0,256000.0,222000.0
3.06.02,Despesas Financeiras,-288000.0,-220000.0,-301000.0,-124000.0,-130000.0,-95000.0,-201000.0,-110000.0,-125000.0,-209000.0,-126000.0,-118000.0,-173000.0,-18000.0,-98000.0,103000.0,-234000.0,-178000.0,-262000.0,-401000.0,-626000.0,-850000.0,-714000.0,-538000.0,-514000.0,-552000.0,-657000.0,-299000.0,-523000.0,-517000.0,-323000.0,-645000.0,-984000.0,-808000.0,-869000.0
3.07,Resultado Antes dos Tributos sobre o Lucro,276000.0,141000.0,601000.0,547000.0,410000.0,443000.0,1774000.0,2182000.0,761000.0,488000.0,2054000.0,0.0,404000.0,332000.0,546000.0,3548000.0,759000.0,602000.0,451000.0,1362000.0,542000.0,1065000.0,-300000.0,623000.0,147000.0,183000.0,1670000.0,4459000.0,1224000.0,1008000.0,5795000.0,511000.0,863000.0,471000.0,602000.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-120000.0,-71000.0,-207000.0,-16000.0,-163000.0,-180000.0,-696000.0,-577000.0,-284000.0,-186000.0,-718000.0,96000.0,-170000.0,-144000.0,-211000.0,-400000.0,-267000.0,-220000.0,147000.0,-337000.0,-217000.0,-358000.0,239000.0,-57000.0,-66000.0,-50000.0,-415000.0,-1162000.0,-435000.0,-141000.0,-1594000.0,-1000.0,-262000.0,-179000.0,-195000.0
3.09,Resultado Líquido das Operações Continuadas,156000.0,70000.0,394000.0,531000.0,247000.0,263000.0,1078000.0,1605000.0,477000.0,302000.0,1336000.0,96000.0,234000.0,188000.0,335000.0,3148000.0,492000.0,382000.0,598000.0,1025000.0,325000.0,707000.0,-61000.0,566000.0,81000.0,133000.0,1255000.0,3297000.0,789000.0,867000.0,4201000.0,510000.0,601000.0,292000.0,407000.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,156000.0,70000.0,394000.0,531000.0,247000.0,263000.0,1078000.0,1605000.0,477000.0,302000.0,1336000.0,96000.0,234000.0,188000.0,335000.0,3148000.0,492000.0,382000.0,598000.0,1025000.0,325000.0,707000.0,-61000.0,566000.0,81000.0,133000.0,1255000.0,3297000.0,789000.0,867000.0,4201000.0,510000.0,601000.0,292000.0,407000.0
3.11.01,Atribuído a Sócios da Empresa Controladora,156000.0,70000.0,394000.0,531000.0,247000.0,263000.0,1078000.0,1605000.0,477000.0,302000.0,1336000.0,96000.0,234000.0,188000.0,335000.0,3148000.0,492000.0,382000.0,598000.0,1025000.0,325000.0,707000.0,-61000.0,566000.0,81000.0,133000.0,1255000.0,3297000.0,789000.0,867000.0,4201000.0,510000.0,615000.0,301000.0,412000.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14000.0,-9000.0,-5000.0
3.99,Lucro por Ação (Reais/Ação),0.13,0.06,0.34,0.46,0.21,0.23,0.93,1.37,0.41,0.26,1.15,0.08,0.2,0.16,0.29,2.7019,0.4223,0.3279,0.5163,0.896,0.2886,0.629,0.0544,0.4006,0.0723,0.1188,1.1208,2.9442,0.7045,0.7773,3.7672,0.4614,0.5518,0.2702,0.37
