Espécie_Acao,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,1165000000,1165000000,1165000000,1165000000,1165000000,1165000000,1119000000,1119000000,1119000000
PN,0,0,0,0,0,0,0,0,0
TOTAL,1165000000,1165000000,1165000000,1165000000,1165000000,1165000000,1119000000,1119000000,1119000000
