especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,74757547,74757547,74757547,74757547,68757647,65657647,65657647,62857647,62857647,62857647,73333922,73333922,88734045,93170747,93170747,ON
TOTAL,74757547,74757547,74757547,74757547,68757647,65657647,65657647,62857647,62857647,62857647,73333922,73333922,88734045,93170747,93170747,TOTAL
