Espécie_Acao,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,407101853,407214353,407214353,407214353,407214353,407904353,407904353,398904353,394210000,1874070932,1874070932,1874070932,1874070932,1866570932,1866570932
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,407101853,407214353,407214353,407214353,407214353,407904353,407904353,398904353,394210000,1874070932,1874070932,1874070932,1874070932,1866570932,1866570932
