especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,41017775,41017775,41017775,41017775,41017775,58782489,58782489,73478111,73478111,75529994,75529994,75529774,75529774,75529774,75529774,ON
PN,77835530,77835530,77835530,77835530,77835530,111546028,111546028,139432535,139432535,143412319,143412319,143412165,143412165,143412165,143412165,PN
TOTAL,118853305,118853305,118853305,118853305,118853305,170328517,170328517,212910646,212910646,218942313,218942313,218941939,218941939,218941939,218941939,TOTAL
