cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,160747.0,168856.0,156441.0,156538.0,155184.0,197130.0,236146.0,293783.0,283973.0,246845.0,309407.0,360732.0,334799.0,399303.0,452228.0,462553.0,490028.0,383609.0,388264.0,459157.0,459202.0,508500.0,613751.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-110064.0,-135986.0,-120399.0,-150979.0,-130243.0,-172781.0,-187459.0,-234849.0,-246185.0,-227705.0,-265678.0,-273831.0,-258628.0,-322488.0,-341754.0,-350339.0,-354999.0,-283115.0,-286380.0,-334649.0,-355611.0,-378686.0,-422364.0
3.03,Resultado Bruto,50683.0,32870.0,36042.0,5559.0,24941.0,24349.0,48687.0,58934.0,37788.0,19140.0,43729.0,86901.0,76171.0,76815.0,110474.0,112214.0,135029.0,100494.0,101884.0,124508.0,103591.0,129814.0,191387.0
3.04,Despesas/Receitas Operacionais,-13932.0,-6134.0,-19215.0,-14809.0,-19582.0,-14941.0,-47549.0,-43719.0,-36674.0,-34565.0,-37679.0,-45965.0,-36842.0,48189.0,-55990.0,-55787.0,-47553.0,-17603.0,-62554.0,-54694.0,-52254.0,-67256.0,-59527.0
3.04.02,Despesas Gerais e Administrativas,-14659.0,-16864.0,-19418.0,-26876.0,-19806.0,-22157.0,-43260.0,-25153.0,-31378.0,-27932.0,-25813.0,-29715.0,-32526.0,-37733.0,-44058.0,-53010.0,-43144.0,-44053.0,-54064.0,-49302.0,-53238.0,-58415.0,-61987.0
3.04.05,Outras Despesas Operacionais,0.0,-887.0,0.0,-3295.0,0.0,0.0,-4808.0,-17158.0,-7090.0,-8305.0,-8748.0,-17382.0,-5408.0,-8738.0,-11932.0,1824.0,-4803.0,0.0,-8814.0,8169.0,984.0,0.0,-1773.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,0.0,,604.0,,0.0,,1473.0,,0.0,
3.04.06,Resultado de Equivalência Patrimonial,683.0,1288.0,-216.0,2227.0,68.0,1519.0,519.0,3400.0,301.0,1602.0,643.0,3631.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,36751.0,26736.0,16827.0,-9250.0,5359.0,9408.0,1138.0,15215.0,1114.0,-15425.0,6050.0,40936.0,39329.0,125004.0,54484.0,56427.0,87476.0,82891.0,39330.0,69814.0,51337.0,62558.0,131860.0
3.06,Resultado Financeiro,-64466.0,-22218.0,-21935.0,5275.0,-39985.0,25885.0,-40490.0,-32658.0,5094.0,-73846.0,-41910.0,-39897.0,-35071.0,-28892.0,-56927.0,-29960.0,-47132.0,-76768.0,-37060.0,-107025.0,-16415.0,-32041.0,-61818.0
3.06.01,Receitas Financeiras,1691.0,3220.0,16327.0,-17256.0,4636.0,12607.0,49892.0,16525.0,68806.0,25032.0,8960.0,5423.0,22422.0,30779.0,19948.0,24891.0,7945.0,8337.0,29413.0,16089.0,48065.0,33417.0,36620.0
