cd_conta,conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,3589.0,-109545.0,70953.0,25720.0,-171994.0,-248789.0,17407.0,131732.0,-246746.0,175986.0,223546.0,-204349.0,-133056.0,-196369.0,112138.0,32436.0,-76865.0,-526394.0,-374640.0
6.01.DA,Depreciação e Amortização,27871.0,36014.0,27184.0,35904.0,34980.0,47184.0,49594.0,43394.0,60250.0,62709.0,68532.0,65874.0,67649.0,69733.0,72082.0,116915.0,74109.0,144545.0,217704.0
6.02,Caixa Líquido Atividades de Investimento,25921.0,-24669.0,-210816.0,-1820347.0,303757.0,279190.0,-575712.0,-415957.0,423470.0,24471.0,59094.0,-279204.0,-86411.0,-1821878.0,31021.0,156183.0,311748.0,727638.0,642333.0
6.03,Caixa Líquido Atividades de Financiamento,-76851.0,-200425.0,1554434.0,557560.0,-118263.0,-79635.0,170445.0,434536.0,-30021.0,-59662.0,-282559.0,483657.0,81533.0,2155755.0,-72379.0,-259498.0,-237353.0,-411503.0,-623993.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,101.0,322.0,-423.0,-56.0,220.0,-88.0,-154.0,-128.0,11.0,84.0,-3.0,312.0,33.0,223.0,2245.0,2254.0,2208.0
6.05,Aumento (Redução) de Caixa e Equivalentes,-47341.0,-334639.0,1414672.0,-1236745.0,13077.0,-49290.0,-387640.0,150223.0,146549.0,140667.0,92.0,188.0,-137937.0,137820.0,70813.0,-70656.0,-225.0,-208005.0,-354092.0
