especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,268565,77478413,77964577,78506215,78506215,78506215,78506215,78506215,78506215,78506215,76506215,70906215,68706215,63356215,ON
TOTAL,268565,77478413,77964577,78506215,78506215,78506215,78506215,78506215,78506215,78506215,76506215,70906215,68706215,63356215,TOTAL
