cd_conta,conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3
6.01,Caixa Líquido das Atividades Operacionais,-529000.000,-9000.000,327000.000,3370000.000,-1911000.000,-888000.000,-642000.000,6939000.000,-219000.000,496000.000,1122000.000
6.01.DA,Depreciação e Amortização,99000.000,197000.000,304000.000,-116000.000,314000.000,646000.000,1002000.000,-590000.000,157000.000,324000.000,499000.000
6.02,Caixa Líquido Atividades de Investimento,-229000.000,-474000.000,-876000.000,-2791000.000,-385000.000,-359000.000,-690000.000,-3353000.000,-177000.000,-757000.000,-1384000.000
6.03,Caixa Líquido Atividades de Financiamento,85000.000,-271000.000,8428000.000,-3527000.000,891000.000,384000.000,-224000.000,-1844000.000,-372000.000,1240000.000,-389000.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,111000.000,156000.000,455000.000,428000.000,-451000.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-673000.000,-754000.000,7879000.000,-2837000.000,-1249000.000,-408000.000,-1128000.000,1291000.000,-768000.000,979000.000,-651000.000
