cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,173104.0,27940.0,114011.0,206854.0,199369.0,243408.0,104268.0,167220.0,232862.0,207360.0,209996.0,256297.0,267434.0,236232.0,234290.0,268491.0,273561.0,248900.0,237507.0,269803.0,279360.0,259218.0,266026.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-71593.0,-52127.0,-72717.0,-86853.0,-86232.0,-97160.0,-103044.0,-137137.0,-129268.0,-145708.0,-133699.0,-167844.0,-156543.0,-153524.0,-149270.0,-175223.0,-167525.0,-167869.0,-168876.0,-180364.0,-177935.0,-173885.0,-180166.0
3.03,Resultado Bruto,101511.0,24187.0,41294.0,71627.0,113137.0,146248.0,1224.0,30083.0,103594.0,61652.0,76297.0,88453.0,110891.0,82708.0,85020.0,93268.0,106036.0,81031.0,68631.0,89439.0,101425.0,85333.0,85860.0
3.04,Despesas/Receitas Operacionais,-58634.0,-47287.0,-22666.0,-41323.0,-49041.0,-40194.0,-27360.0,-54389.0,-60413.0,-48237.0,-48838.0,-68484.0,-63557.0,-55370.0,-49693.0,-75591.0,-53954.0,-39672.0,-41476.0,-59986.0,-49217.0,-42500.0,-54354.0
3.04.02,Despesas Gerais e Administrativas,-50554.0,-41950.0,-599.0,-50334.0,-40700.0,-33510.0,-36886.0,-37986.0,-50780.0,-41886.0,-38700.0,-51545.0,-48247.0,-39189.0,-41249.0,-53776.0,-47807.0,-39463.0,-42086.0,-58683.0,-31034.0,-30707.0,-38454.0
3.04.05,Outras Despesas Operacionais,-364.0,0.0,0.0,-380.0,0.0,0.0,0.0,-1699.0,0.0,0.0,0.0,-7131.0,0.0,0.0,0.0,-10399.0,0.0,-595.0,0.0,-624.0,0.0,-803.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,-174.0,-255.0,247.0,68100.0,51509.0,-2031.0,5594.0,4852.0,-2696.0,2860.0,3585.0,2366.0,-8201.0,2335.0,1154.0,-1041.0,-393.0,474.0,1977.0,-2033.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,42877.0,-71474.0,18628.0,78678.0,64096.0,106054.0,28584.0,29752.0,43181.0,13415.0,27459.0,19969.0,47334.0,27338.0,35327.0,17677.0,52082.0,41359.0,27155.0,29453.0,52208.0,42833.0,31506.0
3.06,Resultado Financeiro,11606.0,-25776.0,-20557.0,82120.0,42347.0,-25026.0,-31446.0,-31004.0,-31196.0,-42697.0,-42613.0,-31659.0,-30676.0,-29791.0,-32273.0,-33191.0,-29567.0,-31080.0,-35197.0,-35674.0,-30909.0,-34488.0,-35781.0
3.06.01,Receitas Financeiras,29280.0,4628.0,3466.0,80158.0,72134.0,7045.0,15472.0,44652.0,4406.0,757.0,2346.0,12698.0,8493.0,9811.0,7368.0,5779.0,7033.0,4430.0,3911.0,5365.0,8599.0,8447.0,7021.0
3.06.02,Despesas Financeiras,-17674.0,-30404.0,-24023.0,-1962.0,-29787.0,-17981.0,-15974.0,-31386.0,-35602.0,-43454.0,-44959.0,-44357.0,-39169.0,-39602.0,-39641.0,-38970.0,-36600.0,-35510.0,-39108.0,-41039.0,-39508.0,-42935.0,-42802.0
3.07,Resultado Antes dos Tributos sobre o Lucro,54483.0,-97250.0,-1929.0,160798.0,106443.0,81028.0,-2862.0,-1252.0,11985.0,-29282.0,-15154.0,-11690.0,16658.0,-2453.0,3054.0,-15514.0,22515.0,10279.0,-8042.0,-6221.0,21299.0,8345.0,-4275.0
