especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,7543248,7543248,7543248,30827321,30827321,30827321,30827321,35308776,47782714,60791774,67716252,73528352,81287824,126841481,126841532,ON
PN,9795585,9795585,9795585,0,0,0,0,0,0,0,0,0,0,0,0,PN
TOTAL,17338833,17338833,17338833,30827321,30827321,30827321,30827321,35308776,47782714,60791774,67716252,73528352,81287824,126841481,126841532,TOTAL
