cd_conta,conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,331078.000,307104.000,290726.000,303612.000,10058.000,167003.000,322157.000,-27207.000,175976.000,191210.000,87715.000,2066.000,202768.000,530526.000,686557.000,-113537.000,112719.000,188267.000,156069.000,128419.000,213857.000,-185203.000,297493.000,653334.000,625813.000,306392.000,609780.000,-399148.000,210184.000,-202394.000,155744.000,-137787.000,-2204.000,-150244.000,59879.000,134056.000,154456.000,245220.000,-160696.000,212565.000,208210.000,332770.000,1670557.000,122107.000,207916.000,-687720.000,168384.000,269375.000,18802.000,-52793.000,434442.000,-199688.000,233396.000,408692.000,243761.000,510075.000,402016.000,569567.000,68028.000,1110675.000,758136.000,971855.000,863552.000
6.01.DA,Depreciação e Amortização,85717.000,87997.000,89144.000,-182144.000,90789.000,183214.000,279704.000,-473285.000,83093.000,89585.000,87913.000,97842.000,94443.000,192095.000,292607.000,-188205.000,99009.000,100993.000,106228.000,108605.000,112514.000,225677.000,339950.000,-218740.000,121970.000,122121.000,125161.000,125655.000,128223.000,128877.000,131107.000,131112.000,133724.000,133903.000,138856.000,138460.000,146185.000,146541.000,147063.000,147398.000,149225.000,296821.000,445238.000,-300375.000,148335.000,151051.000,200031.000,178693.000,180807.000,181283.000,182469.000,186208.000,192426.000,196021.000,197129.000,201047.000,210617.000,213579.000,214930.000,254812.000,219623.000,447919.000,680686.000
6.02,Caixa Líquido Atividades de Investimento,-160204.000,-121443.000,-139752.000,-270287.000,-166028.000,-376706.000,-869489.000,211945.000,-189107.000,-192111.000,-204771.000,-349263.000,-209810.000,-424165.000,-601932.000,-901543.000,1072514.000,-135938.000,-1237701.000,556631.000,-94960.000,-550814.000,-829891.000,498619.000,-132754.000,-181761.000,-118356.000,-93720.000,-143215.000,-208841.000,-196837.000,-262880.000,-129968.000,-1542969.000,189237.000,-183421.000,4896.000,-211468.000,-923563.000,670087.000,-233568.000,-325597.000,-2649970.000,502241.000,-1483329.000,-2535635.000,2299385.000,-237939.000,-307302.000,-846104.000,-342514.000,1648187.000,235820.000,-169343.000,-201756.000,-225215.000,-597051.000,-545783.000,121252.000,-752977.000,-899079.000,-687824.000,-172805.000
6.03,Caixa Líquido Atividades de Financiamento,-46769.000,-346141.000,-36332.000,-357796.000,14544.000,132459.000,474337.000,365366.000,-96795.000,-138761.000,770771.000,-451871.000,212612.000,1700595.000,1472360.000,-2238358.000,-1037268.000,832328.000,-121232.000,-660099.000,121235.000,447797.000,276554.000,-801718.000,-294896.000,-219802.000,-89964.000,209279.000,-49552.000,-12525.000,30874.000,418853.000,36768.000,2060665.000,-434450.000,399765.000,-476695.000,-85671.000,1202222.000,-342057.000,-173821.000,-638741.000,251797.000,590877.000,939535.000,2979973.000,-2433177.000,256809.000,-95619.000,902801.000,-95710.000,-1417393.000,-485766.000,-147507.000,-139781.000,-14196.000,-15436.000,-28429.000,-247461.000,-190670.000,-19002.000,-316494.000,-530471.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,124105.000,-160480.000,114642.000,-324471.000,-141426.000,-77244.000,-72995.000,550104.000,-109926.000,-139662.000,653715.000,-799068.000,205570.000,1806956.000,1556985.000,-3253438.000,147965.000,884657.000,-1202864.000,24951.000,240132.000,-288220.000,-255844.000,350235.000,198163.000,-95171.000,401460.000,-283589.000,17417.000,-423760.000,-10219.000,18186.000,-95404.000,367452.000,-185334.000,350400.000,-317343.000,-51919.000,117963.000,540595.000,-199179.000,-631568.000,-727616.000,1215225.000,-335878.000,-243382.000,34592.000,288245.000,-384119.000,3904.000,-3782.000,31106.000,-16550.000,91842.000,-97776.000,270664.000,-210471.000,-4645.000,-58181.000,167028.000,-159945.000,-32463.000,160276.000
