cd_conta,conta,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3655533.000,3558999.000,3702354.000,3926345.000,4000426.000,4022585.000,4012057.000,4171406.000,4008447.000,4009710.000,4247837.000,4452437.000,4525540.000,4427030.000,4410428.000,4304552.000,4363208.000,4241786.000,4161407.000,4171334.000
1.01,Ativo Circulante,2156794.000,2069876.000,2299843.000,2545852.000,2471104.000,2681553.000,2736551.000,2928749.000,2505790.000,2284422.000,2407695.000,2927278.000,2569527.000,2440169.000,2893486.000,2794098.000,2881088.000,2614139.000,2772272.000,2885012.000
1.01.01,Caixa e Equivalentes de Caixa,576761.000,528242.000,559678.000,647312.000,586089.000,628401.000,586110.000,578151.000,471137.000,387484.000,384716.000,359049.000,402874.000,403486.000,370069.000,327683.000,319829.000,266635.000,253708.000,204200.000
1.01.02,Aplicações Financeiras,36415.000,36624.000,35265.000,24174.000,22049.000,21734.000,16222.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,566688.000,536002.000,665064.000,749520.000,785409.000,723527.000,706193.000,652538.000,546046.000,491873.000,452739.000,493648.000,609483.000,575224.000,517837.000,470995.000,499323.000,417573.000,397622.000,419714.000
1.01.04,Estoques,864410.000,860554.000,865049.000,974977.000,918504.000,1143230.000,1228882.000,1601863.000,1305659.000,1305390.000,1457556.000,1927648.000,1401111.000,1369383.000,1907063.000,1905596.000,1957126.000,1821568.000,2030452.000,2167171.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,19520.000,10088.000,13683.000,9405.000,8587.000,18705.000,17839.000,26951.000,26945.000,27901.000,27524.000,25588.000,28040.000,25455.000,26060.000,26356.000,36269.000,38114.000,36925.000,34111.000
1.01.07,Despesas Antecipadas,36115.000,30830.000,40444.000,33756.000,30875.000,26853.000,20513.000,19489.000,19565.000,14956.000,13603.000,12792.000,13525.000,15169.000,15946.000,13548.000,11905.000,11810.000,11072.000,12934.000
1.01.08,Outros Ativos Circulantes,56885.000,67536.000,120660.000,106708.000,119591.000,119103.000,160792.000,49757.000,136438.000,56818.000,71557.000,108553.000,114494.000,51452.000,56511.000,49920.000,56636.000,58439.000,42493.000,46882.000
1.02,Ativo Não Circulante,1498739.000,1489123.000,1402511.000,1380493.000,1529322.000,1341032.000,1275506.000,1242657.000,1502657.000,1725288.000,1840142.000,1525159.000,1956013.000,1986861.000,1516942.000,1510454.000,1482120.000,1627647.000,1389135.000,1286322.000
1.02.01,Ativo Realizável a Longo Prazo,1020954.000,1017273.000,922650.000,870803.000,853423.000,658694.000,563290.000,522771.000,784595.000,996423.000,1162550.000,830776.000,1269498.000,1292645.000,810771.000,778017.000,737333.000,876796.000,696437.000,576968.000
1.02.02,Investimentos,222507.000,213563.000,222736.000,251459.000,412498.000,424375.000,455527.000,473787.000,471980.000,486314.000,439605.000,450944.000,446292.000,454132.000,466425.000,493581.000,501340.000,503890.000,444472.000,452884.000
1.02.03,Imobilizado,42039.000,46145.000,46051.000,48141.000,54241.000,49741.000,49434.000,39725.000,41047.000,37490.000,32900.000,38343.000,33959.000,33958.000,33348.000,32299.000,36960.000,39871.000,40783.000,48566.000
1.02.04,Intangível,213239.000,212142.000,211074.000,210090.000,209160.000,208222.000,207255.000,206374.000,205035.000,205061.000,205087.000,205096.000,206264.000,206126.000,206398.000,206557.000,206487.000,207090.000,207443.000,207904.000
