especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,3631188,36311880,36311880,43574256,43574256,43574256,43574256,43574256,43574256,43574256,54467820,54467820,54467820,54467820,54467820,ON
PN,1411831,14118310,14118310,16941972,16941972,16941972,16941972,16941972,16941972,16941972,21177465,21177465,21177465,21177465,21177465,PN
TOTAL,5043019,50430190,50430190,60516228,60516228,60516228,60516228,60516228,60516228,60516228,75645285,75645285,75645285,75645285,75645285,TOTAL
