especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,4142194,4121059,4119052,4119052,4116052,4109790,4109790,4105790,4066490,121994700,137994700,150377481,150377481,150377481,150377481,ON
PN,450003,449523,449523,449523,449523,449523,449523,449523,449523,13485690,13485690,0,0,0,0,PN
TOTAL,4592197,4570582,4568575,4568575,4565575,4559313,4559313,4555313,4516013,135480390,151480390,150377481,150377481,150377481,150377481,TOTAL
