especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,29440000,58880000,58880000,29440000,29440000,29440000,29440000,29440000,29440000,29440000,29440000,29440000,29440000,29440000,117725000,ON
PN,58880000,29440000,29440000,58880000,58880000,58880000,58880000,58880000,58880000,58880000,58880000,58880000,58880000,58880000,235450000,PN
TOTAL,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,88320000,353175000,TOTAL
