especie,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,12371189,50651956,50651956,86885350,86885350,86885350,86885350,86885350
TOTAL,12371189,50651956,50651956,86885350,86885350,86885350,86885350,86885350
