especie,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,36232057,37582066,40760818,40760818,40760818,40760818,40760818
TOTAL,36232057,37582066,40760818,40760818,40760818,40760818,40760818
