codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,840812.22,840812.22,2768881.63,2078835.74,2249897.53,1408434.25,831704.71,880271.41
P_L,P/L,Valuation,x,,7.0338,7.733,2.3278,6.8631,-261.0871,-7.4093,-7.842
P_VPA,P/VPA,Valuation,x,,1.5129,2.0847,0.9782,1.0858,0.6983,0.4142,0.4384
EV_EBITDA,EV/EBITDA,Valuation,x,,2.9956,2.9818,2.475,3.155,2.9326,2.8604,2.8936
EV_EBIT,EV/EBIT,Valuation,x,,5.5461,4.2537,3.6532,11.6455,10.2798,161.6305,163.5098
EV_RECEITA,EV/Receita,Valuation,x,,2.0894,2.6234,2.2604,2.7423,2.2464,1.6649,1.6843
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,,21.5088,38.0118,51.7189,15.6204,-0.2638,-5.4775,-5.4775
ROA,ROA,Rentabilidade,%,,4.2513,10.8824,18.4983,5.1922,-0.0766,-1.5106,-1.5106
ROIC,ROIC,Rentabilidade,%,,13.7518,25.5811,17.8669,5.8694,5.6967,0.3186,0.3186
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,69.7507,87.978,91.3313,86.9167,76.6025,58.2063,58.2063
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,11.7973,25.6529,48.5471,17.4003,-0.2529,-4.4741,-4.4741
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.8059,0.727,1.2376,1.7811,2.0705,2.2908,2.2908
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,,2.2966,0.6722,0.9784,1.4075,1.6772,1.6659,1.6659
ICJ,ICJ,Endividamento,x,,0.6783,0.9618,1.15,0.6554,0.5393,0.0599,0.0599
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,25.0901,19.2831,13.6426,7.5439,8.9449,14.8836,14.8836
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,,1.8836,2.5848,2.8625,3.8758,3.3019,2.7402,2.7402
LIQ_SECA,Liquidez Seca,Liquidez,x,,1.5168,2.1252,2.366,2.7664,2.4522,2.1316,2.1316
LIQ_GERAL,Liquidez Geral,Liquidez,x,,0.6233,0.7975,0.675,0.6289,0.573,0.5824,0.5824
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3604,0.3704,0.3125,0.2795,0.2902,0.3369,0.3369
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,332.8491,506.0923,248.5899,245.1064,299.5935,143.6902,143.6902
PME,PME,Eficiência,dias,,350.0189,578.4089,275.1514,256.2313,311.9442,152.8365,152.8365
NCG_RECEITA,NCG/Receita,Eficiência,%,,44.064,41.4807,42.7684,57.0915,53.9506,41.3521,41.3521
