cd_conta_padrao,ds_conta_padrao,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,123451.0,203106.0,297363.0,267341.0,12594.0,378513.0,333995.0,360353.0,11117.0,442798.0,485906.0,509252.0,300637.0,445052.0,465936.0,495863.0,225207.0,401268.0,542668.0,740385.0,,505096.0,640689.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-247224.0,-133557.0,-117830.0,-119264.0,-87882.0,-140098.0,-121792.0,-128588.0,289255.0,-202568.0,-312555.0,-467873.0,-25353.0,-331178.0,-221595.0,-582331.0,-269751.0,-230132.0,-327553.0,-548720.0,,-608174.0,-490504.0
3.03,Resultado Bruto,-123773.0,69549.0,179533.0,148077.0,-75288.0,238415.0,212203.0,231765.0,300372.0,240230.0,173351.0,41379.0,275284.0,113874.0,244341.0,-86468.0,-44544.0,171136.0,215115.0,191665.0,,-103078.0,150185.0
3.04,Despesas/Receitas Operacionais,47968.0,-25920.0,-11035.0,-38003.0,-96129.0,-9097.0,4743.0,13096.0,-448632.0,-9054.0,-1906.0,456204.0,541764.0,-43342.0,-44108.0,-24712.0,-27002.0,-20628.0,-47734.0,-63124.0,,-61614.0,-70115.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-75805.0,43629.0,168498.0,110074.0,-171417.0,229318.0,216946.0,244861.0,-148260.0,231176.0,171445.0,497583.0,817048.0,70532.0,200233.0,-111180.0,-71546.0,150508.0,167381.0,128541.0,,-164692.0,80070.0
3.06,Resultado Financeiro,-5591.0,-68632.0,-86995.0,-27279.0,75133.0,-72544.0,-262836.0,-46652.0,-187321.0,-81123.0,71090.0,-100949.0,-169500.0,-1638.0,-312025.0,214217.0,252279.0,-185317.0,-126735.0,-273966.0,,149122.0,-71348.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-81396.0,-25003.0,81503.0,82795.0,-96284.0,156774.0,-45890.0,198209.0,-335581.0,150053.0,242535.0,396634.0,647548.0,68894.0,-111792.0,103037.0,180733.0,-34809.0,40646.0,-145425.0,,-15570.0,8722.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,58939.0,8074.0,-15889.0,-32499.0,-8725.0,-41088.0,35653.0,-28734.0,-24796.0,-30018.0,-65026.0,54106.0,-32926.0,-19402.0,64242.0,-27272.0,-53527.0,32431.0,-6873.0,71942.0,,1607.0,10196.0
3.09,Resultado Líquido das Operações Continuadas,-22457.0,-16929.0,65614.0,50296.0,-105009.0,115686.0,-10237.0,169475.0,-360377.0,120035.0,177509.0,450740.0,614622.0,49492.0,-47550.0,75765.0,127206.0,-2378.0,33773.0,-73483.0,,-13963.0,18918.0
3.10,Resultado Líquido de Operações Descontinuadas,-290.0,0.0,0.0,290.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,-22747.0,-16929.0,65614.0,50586.0,-104475.0,115686.0,-10237.0,169475.0,-360377.0,120035.0,177509.0,450740.0,614622.0,49492.0,-47550.0,75765.0,127206.0,-2378.0,33773.0,-73483.0,,-13963.0,18918.0
3.99,Lucro por Ação - (Reais / Ação),167.74,0.0,143.83,0.22,0.71377,0.3926,-0.0347,0.5751,1.31629,0.40732,0.6027,0.0,2.35643,0.16794,-0.16216,0.25595,0.28622,-0.0079,0.112,-0.24369,-0.18554,0.0463,0.0627
