cd_conta_padrao,ds_conta_padrao,2020-T2,2020-T3,2020-T4,2021-T2,2021-T3,2021-T4,2022-T2,2022-T3,2022-T4,2023-T2,2023-T3,2023-T4,2024-T2,2024-T3,2024-T4,2025-T2,2025-T3,2025-T4
1,Ativo Total,2699843.0,3015808.0,2544449.0,3543402.0,3560263.0,3461102.0,4704371.0,5303485.0,4249872.0,6302695.0,6554833.0,6119077.0,7215464.0,7415472.0,6701940.0,7445998.0,7446329.0,7137606.0
1.01,Ativo Circulante,998460.0,1385232.0,804998.0,1791188.0,1868245.0,1770221.0,2113240.0,2683880.0,1996487.0,2167236.0,2530179.0,2051383.0,2633886.0,2879133.0,2120283.0,2616614.0,2841194.0,2301201.0
1.01.01,Caixa e Equivalentes de Caixa,467534.0,742740.0,389082.0,1093059.0,1032832.0,1194100.0,1184662.0,1654043.0,1242658.0,839105.0,914008.0,999121.0,1297853.0,1204199.0,1049863.0,1504948.0,1485735.0,1237342.0
1.01.02,Aplicações Financeiras,61802.0,11781.0,29923.0,100766.0,361.0,26635.0,95096.0,30223.0,57792.0,30505.0,12774.0,14149.0,17800.0,9756.0,17453.0,1523.0,174.0,3486.0
1.01.03,Contas a Receber,67244.0,96202.0,44034.0,0.0,46600.0,36523.0,32896.0,92911.0,45243.0,88303.0,85174.0,47500.0,72615.0,97405.0,126075.0,80740.0,111606.0,90249.0
1.01.04,Estoques,138613.0,237009.0,69884.0,138533.0,297183.0,76621.0,264818.0,398606.0,131581.0,472115.0,830147.0,196186.0,490879.0,855616.0,224848.0,394165.0,630959.0,212591.0
1.01.05,Ativos Biológicos,186834.0,226717.0,186860.0,417598.0,449192.0,369899.0,443165.0,410238.0,432968.0,524191.0,515035.0,599551.0,585366.0,543841.0,531263.0,404537.0,314014.0,614539.0
1.01.06,Tributos a Recuperar,45786.0,44258.0,40298.0,32483.0,31772.0,42756.0,58565.0,82803.0,38479.0,153735.0,125587.0,156718.0,115145.0,145391.0,94017.0,117190.0,152008.0,105885.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,30647.0,26525.0,44917.0,8749.0,10305.0,23687.0,34038.0,15056.0,47766.0,59282.0,47454.0,38158.0,54228.0,22925.0,76764.0,113511.0,146698.0,37109.0
1.02,Ativo Não Circulante,1701383.0,1630576.0,1739451.0,1752214.0,1692018.0,1690881.0,2591131.0,2619605.0,2253385.0,4135459.0,4024654.0,4067694.0,4581578.0,4536339.0,4581657.0,4829384.0,4605135.0,4836405.0
1.02.01,Ativo Realizável a Longo Prazo,95167.0,89186.0,109147.0,116009.0,120830.0,120076.0,244827.0,320221.0,211580.0,436357.0,425228.0,450506.0,316427.0,322568.0,336545.0,313159.0,326165.0,278184.0
1.02.02,Investimentos,132137.0,138241.0,132240.0,107699.0,104285.0,101928.0,83908.0,88386.0,100007.0,87623.0,94966.0,82222.0,95086.0,97554.0,89652.0,91851.0,95117.0,88595.0
1.02.03,Imobilizado,1463911.0,1393507.0,1488000.0,1519822.0,1458670.0,1459756.0,2254066.0,2202156.0,1933980.0,3596633.0,3489673.0,3519861.0,4153897.0,4099383.0,4140707.0,4397782.0,4153420.0,4448886.0
1.02.04,Intangível,10168.0,9642.0,10064.0,8684.0,8233.0,9121.0,8330.0,8842.0,7818.0,14846.0,14787.0,15105.0,16168.0,16834.0,14753.0,26592.0,30433.0,20740.0
