cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,243381.0,85824.0,135540.0,184620.0,165480.0,175629.0,228674.0,265148.0,244004.0,273686.0,295019.0,300250.0,305515.0,334652.0,350771.0,365403.0,369613.0,385131.0,399555.0,430509.0,425111.0,461510.0,486222.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-179381.0,-65080.0,-98495.0,-141591.0,-128416.0,-135634.0,-166399.0,-197568.0,-170522.0,-185984.0,-202110.0,-237309.0,-204378.0,-228002.0,-235412.0,-248603.0,-250544.0,-257954.0,-273436.0,-272135.0,-292123.0,-318501.0,-337582.0
3.03,Resultado Bruto,64000.0,20744.0,37045.0,43029.0,37064.0,39995.0,62275.0,67580.0,73482.0,87702.0,92909.0,62941.0,101137.0,106650.0,115359.0,116800.0,119069.0,127177.0,126119.0,158374.0,132988.0,143009.0,148640.0
3.04,Despesas/Receitas Operacionais,-49179.0,-36429.0,-59363.0,-11656.0,-58803.0,-57294.0,-62727.0,-60483.0,-61785.0,-66982.0,-63410.0,-49021.0,-68241.0,-60005.0,-69205.0,-70470.0,-75129.0,-67896.0,-69499.0,-107210.0,-77380.0,-74995.0,-73167.0
3.04.02,Despesas Gerais e Administrativas,-47999.0,-36707.0,-58808.0,-63273.0,-56079.0,-58232.0,-59510.0,-83132.0,-62853.0,-66036.0,-63338.0,-84988.0,-68238.0,-67071.0,-67004.0,-88261.0,-73492.0,-73444.0,-74785.0,-84921.0,-78111.0,-77053.0,-77275.0
3.04.05,Outras Despesas Operacionais,-24.0,0.0,0.0,-121698.0,-1275.0,0.0,-2617.0,-142483.0,-2298.0,0.0,-781.0,-150926.0,-112.0,0.0,0.0,-156897.0,-1663.0,0.0,0.0,-162637.0,-558.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-1156.0,-1008.0,-684.0,338.0,-1449.0,-1128.0,-600.0,-693.0,-1230.0,-1335.0,-853.0,-1502.0,-115.0,377.0,-171.0,-150.0,26.0,1433.0,1631.0,-502.0,173.0,-110.0,1387.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,14821.0,-15685.0,-22318.0,31373.0,-21739.0,-17299.0,-452.0,7097.0,11697.0,20720.0,29499.0,13920.0,32896.0,46645.0,46154.0,46330.0,43940.0,59281.0,56620.0,51164.0,55608.0,68014.0,75473.0
3.06,Resultado Financeiro,-39885.0,-41076.0,-50560.0,-45751.0,-42345.0,-42149.0,-47399.0,-57332.0,-54257.0,-56023.0,-62476.0,-56011.0,-61648.0,-60050.0,-58616.0,-54096.0,-56324.0,-52238.0,-53126.0,-53265.0,-55942.0,-58688.0,-63093.0
