Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,4714690,5883196,297447928,297466746,29748449,65953739,13190747,13337039,140375839,144685660,878330845,882646385,887229147,892059934,896346173,896346173
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,4714690,5883196,297447928,297466746,29748449,65953739,13190747,13337039,140375839,144685660,878330845,882646385,887229147,892059934,896346173,896346173
