Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,289836870,289836870,289836870,289836870,231967956,231967956,167911724,167911753,167911753,503735259,503735259,503735259,503735259,503735259,503735259
PN,124245312,124245312,124245312,186783336,244652267,244652267,308708482,335823420,335823420,1007470260,1007470260,1007470260,1007470260,1007470260,1007470260
TOTAL,414082182,414082182,414082182,476620206,476620223,476620223,476620206,503735173,503735173,1511205519,1511205519,1511205519,1511205519,1511205519,1511205519
