Espécie_Acao,2021T4,2022T4,2023T4,2024T4,2025T4,2026T1
ON,1661418472,8993572584,8993572584,8993572584,8993572584,8993572584
PN,81997058,1358936900,1358936900,1358936900,1358936900,1358936900
TOTAL,1743415530,10352509484,10352509484,10352509484,10352509484,10352509484
