cd_conta,conta,2020T2,2020T3,2020T4,2021T2,2021T3,2021T4,2022T2,2022T3,2022T4,2023T2,2023T3,2023T4,2024T2,2024T3,2024T4,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,-972124.0,561795.0,1318182.0,708193.0,-130301.0,3363377.0,-5038139.0,-5297879.0,-916856.0,-5189888.0,-2457100.0,2401488.0,-7848797.0,-7655155.0,-4400355.0,-9977589.0,-9775184.0
6.01.DA,Depreciação e Amortização,245699.0,490194.0,741944.0,730021.0,2553596.0,4423165.0,2249771.0,5087436.0,7172611.0,1800831.0,4261566.0,6440319.0,1924894.0,4763001.0,7143050.0,2011595.0,4845287.0
6.02,Caixa Líquido Atividades de Investimento,-87792.0,-159082.0,-236452.0,1926889.0,-3228872.0,-5234711.0,-2502934.0,-4410708.0,-7288552.0,-2081141.0,-4315182.0,-7266810.0,-2391726.0,-5163094.0,-7747760.0,-1517644.0,-2268726.0
6.03,Caixa Líquido Atividades de Financiamento,71096.0,-1580725.0,-2158803.0,-295308.0,7559438.0,4231167.0,4793474.0,7740158.0,4547323.0,2740904.0,4602013.0,4175951.0,3869624.0,8338942.0,6759578.0,4464387.0,7997153.0
6.04,Variação Cambial s/ Caixa e Equivalentes,60588.0,74235.0,58423.0,-141994.0,3365.0,70175.0,246128.0,389322.0,326316.0,-137170.0,20189.0,-128150.0,279173.0,273626.0,531494.0,-94267.0,-34101.0
6.05,Aumento (Redução) de Caixa e Equivalentes,-928232.0,-1103777.0,-1018650.0,2197780.0,4203630.0,2430008.0,-2501471.0,-1579107.0,-3331769.0,-4667295.0,-2150080.0,-817521.0,-6091726.0,-4205681.0,-4857043.0,-7125113.0,-4080858.0
