cd_conta,conta,2020T2,2020T3,2020T4,2021T2,2021T3,2021T4,2022T2,2022T3,2022T4,2023T2,2023T3,2023T4,2024T2,2024T3,2024T4,2025T2,2025T3
1,Ativo Total,28154000.0,28647902.0,28045433.0,75284557.0,105378789.0,105044734.0,105781693.0,105685586.0,105060647.0,111895806.0,122572575.0,125520596.0,138009255.0,142658527.0,143846433.0,135725711.0,132793411.0
1.01,Ativo Circulante,11588100.0,11665288.0,12180874.0,33249348.0,53184826.0,51821142.0,51240792.0,51853168.0,49409032.0,47171240.0,57887705.0,59815001.0,61987651.0,66632871.0,66341421.0,57921048.0,60725018.0
1.01.01,Caixa e Equivalentes de Caixa,1238826.0,1063281.0,1148408.0,4802559.0,6808409.0,5034787.0,5733097.0,6655461.0,4902799.0,4066101.0,6583316.0,7915875.0,8728180.0,10614225.0,9962863.0,14596280.0,17640535.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,378762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,1775466.0,1821396.0,1999651.0,4188834.0,6117665.0,7231468.0,9236996.0,8692228.0,9916497.0,8749501.0,11468006.0,12980213.0,11883755.0,13140945.0,10661679.0,8832063.0,7759297.0
1.01.04,Estoques,3768341.0,4324419.0,4342477.0,8245355.0,14089448.0,14243251.0,13675987.0,17430950.0,16013506.0,12336654.0,15964848.0,17281827.0,17965327.0,17869860.0,17433044.0,11619593.0,14670319.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,1969532.0,2287041.0,3106744.0,3102341.0,2174944.0,3254850.0,4133784.0,3963642.0,3818315.0,3900048.0,3709368.0,3596878.0,2847966.0,1582045.0
1.01.06,Tributos a Recuperar,2315611.0,2586556.0,2352874.0,2936987.0,3713278.0,3960231.0,3877800.0,5589053.0,5702539.0,5492365.0,5719062.0,4769000.0,5158665.0,5589248.0,6083513.0,6849545.0,7599300.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,2489856.0,1869636.0,2337464.0,10727319.0,20168985.0,18244661.0,15614571.0,11310532.0,9618841.0,12392835.0,14188831.0,13049771.0,14351676.0,15709225.0,18603444.0,13175601.0,11473522.0
1.02,Ativo Não Circulante,16565900.0,16982614.0,15864559.0,42035209.0,52193963.0,53223592.0,54540901.0,53832418.0,55651615.0,64724566.0,64684870.0,65705595.0,76021604.0,76025656.0,77505012.0,77804663.0,72068393.0
1.02.01,Ativo Realizável a Longo Prazo,7532499.0,7935877.0,7348851.0,12035064.0,15307262.0,14344238.0,13790306.0,14220830.0,14937222.0,19836093.0,19798122.0,19525423.0,24278532.0,24701988.0,23403591.0,22413847.0,22531023.0
1.02.02,Investimentos,739546.0,739819.0,769251.0,1274990.0,1281189.0,1317720.0,1354112.0,1385362.0,1371430.0,1369110.0,1317104.0,1321981.0,1364200.0,1311733.0,2012606.0,2002165.0,1934110.0
1.02.03,Imobilizado,7164514.0,7194382.0,6670367.0,23979641.0,29767255.0,31534094.0,33313228.0,32121806.0,33204712.0,37506853.0,37546853.0,38378975.0,43783945.0,43436660.0,45814851.0,47139007.0,41972485.0
1.02.04,Intangível,1129341.0,1112536.0,1076090.0,4745514.0,5838257.0,6027540.0,6083255.0,6104420.0,6138251.0,6012510.0,6022791.0,6479216.0,6594927.0,6575275.0,6273964.0,6249644.0,5630775.0
