Ticker,Preço_Fechamento,2010T1,2010T2,2010T3,2011T1,2011T2,2011T3,2012T1,2012T2,2012T3,2013T1,2013T2,2013T3,2014T1,2014T2,2014T3,2015T1,2015T2,2015T3,2016T1,2016T2,2016T3,2017T1,2017T2,2017T3,2018T1,2018T2,2018T3,2019T1,2019T2,2019T3,2020T1,2020T2,2020T3,2021T1,2021T2,2021T3,2022T1,2022T2,2022T3,2023T1,2023T2,2023T3,2024T1,2024T2,2024T3,2025T1,2025T2,2025T3
ENGI3,Preço de Fechamento Ajustado,0.95,0.8,0.91,0.89,1.34,1.15,1.08,1.08,1.15,1.31,1.39,1.46,1.56,1.41,1.47,1.39,1.64,1.77,2.35,2.05,2.8,3.55,4.37,5.12,6.16,6.21,7.64,11.19,10.08,8.03,8.45,8.95,9.08,11.79,12.88,11.59,12.52,10.19,9.98,10.08,11.62,12.1,12.98,12.28,11.68,10.39,10.85,12.13
ENGI4,Preço de Fechamento Ajustado,0.85,0.74,0.83,0.8,0.98,1.0,0.96,0.99,1.02,1.08,1.16,0.89,1.01,1.03,1.32,1.26,1.51,1.67,1.62,1.74,2.44,2.47,2.63,2.78,3.88,3.22,3.16,4.04,5.19,6.3,4.33,5.76,4.83,5.01,5.0,4.89,6.06,4.98,5.51,5.41,6.96,6.22,6.64,6.35,6.53,6.23,7.97,8.36
