especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,38041111,9510277,2377569,ON
PN,1258019,1258019,1258019,1258019,1258019,1258019,1258019,1258019,1258019,73258019,73258019,73258019,73258019,18314504,4578626,PN
TOTAL,39299130,39299130,39299130,39299130,39299130,39299130,39299130,39299130,39299130,111299130,111299130,111299130,111299130,27824781,6956195,TOTAL
